,propertName,links,rating,society,price,area,areaWithType,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId
,"4 BHK Flatin Sector 66, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-palm-terraces-select-sector-66-gurgaon-2410-sq-ft-spid-L80391873,3.7,  Emaar Mgf Palm Terraces Select,5.4 Crore,2410,2400,4 Bedrooms,4 Bathrooms,Servant Room,"Emaar Mgf Palm Terraces Select Sector 66, Gurgaon",Ground of 12 Floors,South-West,5 to 10 Year Old,"['Sector 55/56 Metro Station', 'Omaxe Gurgaon Mall', 'Golf Course Ext Rd', 'Badshahpur Sohna Rd Hwy', 'DPS International Edge', 'Sushant University', 'Park Hospital', 'Indira Gandhi Intl Airport']","With beautiful garden area 2000 sqft on ground floor, this beautiful 4 bhk flat in sector 66 gurgaon is situated in emaar mgf palm terraces select, one of the popular residential society in gurgaon. Containing 4 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area ...","['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '5 Geyser', '18 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",L80391873
,"3 BHK Flatin Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-1758-sq-ft-r1-spid-H79042669,4,  Experion The Heartsong,1.9 Crore,1758,1338.29,3 Bedrooms,4 Bathrooms,"Study Room,Servant Room","Experion The Heartsong Sector 108, Gurgaon",7th   of 14 Floors,East,1 to 5 Year Old,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'SkyJumper Trampoline Park', 'Fun N Food Village']","Located in the popular residential address of sector 108 gurgaon, experion the heartsong is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. This is a east-Facing property. The floor plan additionally contains 3 bedroom(s...","['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '15 Light', '5 AC', '1 Curtains', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",H79042669
,"3 BHK Flatin Sector 104, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-2290-sq-ft-r1-spid-G79029943,3.9,  ATS Triumph,2.6 Crore,2290,1980,3 Bedrooms,4 Bathrooms,Servant Room,"ATS Triumph Sector 104, Gurgaon",12nd   of 27 Floors,South-East,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expressway', 'Govt. PG College', 'Delhi Public School', 'The NorthCap University', 'Shree Krishna Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot', 'The Executive Centre', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","This beautiful 3 bhk flat in sector 104 gurgaon is situated in ats triumph, one of the popular residential society in gurgaon. This property faces the east direction. Containing 3 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 2290 sq.Ft. The fla...","['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '17 Light', '1 Chimney', '1 Modular Kitchen', '5 AC', '1 Curtains', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",G79029943
,"3 BHK Flatin Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-1758-sq-ft-r1-spid-B79103309,4,  Experion The Heartsong,1.95 Crore,1758,1275.53,3 Bedrooms,3 Bathrooms,"Study Room,Servant Room","Experion The Heartsong Sector 108, Gurgaon",10th   of 14 Floors,South-East,1 to 5 Year Old,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'SkyJumper Trampoline Park', 'Fun N Food Village']","Experion the heartsong is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 108 gurgaon is your opportunity to be a part of this community. This residential flat is east-Facing direction. Containing 3 bedroom(s), 3 bathrooms and more than 3 balconies, this f...","['1 Water Purifier', '1 Fridge', '5 Fan', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '20 Light', '1 Modular Kitchen', '5 AC', '1 Chimney', '1 Curtains', '4 TV', '3 Wardrobe', '3 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",B79103309
,"3 BHK Flatin Sector 107, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-woodshire-sector-107-gurgaon-1943-sq-ft-r1-spid-T79043015,4.1,  M3M Woodshire,1.85 Crore,1943,1750,3 Bedrooms,3 Bathrooms,Store Room,"M3M Woodshire Sector 107, Gurgaon",12nd   of 14 Floors,East,1 to 5 Year Old,"['Signum 107', 'Nora Solomon Medicenter', 'Indira Gandhi International Airport', 'The Shikshiyan School', 'Najafgarh Jheel Bird Sanctuary', 'Skylark Cricket Academy']","M3m woodshire is one of the most popular destination for buying apartments/ flats in sector 107 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is east-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more t...","['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '14 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",T79043015
,"3 BHK Flatin Sector 107, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-woodshire-sector-107-gurgaon-2361-sq-ft-r1-spid-P79042849,4.1,  M3M Woodshire,2.15 Crore,2361,2032,3 Bedrooms,4 Bathrooms,Servant Room,"M3M Woodshire Sector 107, Gurgaon",10th   of 14 Floors,North-East,1 to 5 Year Old,"['Signum 107', 'Nora Solomon Medicenter', 'Indira Gandhi International Airport', 'The Shikshiyan School', 'Najafgarh Jheel Bird Sanctuary', 'Skylark Cricket Academy']","Check out this 3 bhk apartment for sale in m3m woodshire, a popular residential project that houses in-Demand flats in sector 107 gurgaon. The flat is facing the east direction. Constructed on a super built up area of 2361 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and more than 3 balconie...","['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '1 Dining Table', '15 Light', '1 Chimney', '5 AC', '1 Modular Kitchen', '1 Curtains', 'No Bed', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",P79042849
,"2 BHK Flatin Sector 108, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-1283-sq-ft-r1-spid-L79045505,4,  Experion The Heartsong,1.5 Crore,1283,978.23,2 Bedrooms,3 Bathrooms,Servant Room,"Experion The Heartsong Sector 108, Gurgaon",5th   of 14 Floors,South-East,1 to 5 Year Old,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'SkyJumper Trampoline Park', 'Fun N Food Village']","This 2 bhk apartment is available for sale in experion the heartsong, one of the most prominent projects for flats in sector 108 gurgaon. This residential flat is east-Facing direction. The flat occupies a super built up area of 1283 sq.Ft. That consists of 2 bedrooms, 3 bathrooms and 3 balconies. T...","['2 Wardrobe', '3 Fan', '1 Exhaust Fan', '10 Light', '3 AC', '1 Curtains', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",L79045505
,"4 BHK Flatin Sector 66, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-palm-terraces-select-sector-66-gurgaon-2410-sq-ft-spid-A80463169,3.7,  Emaar Mgf Palm Terraces Select,4.45 Crore,2410,2350,4 Bedrooms,4 Bathrooms,Servant Room,"Emaar Mgf Palm Terraces Select Sector 66, Gurgaon",8th   of 12 Floors,North-East,5 to 10 Year Old,"['Sector 55/56 Metro Station', 'Omaxe Gurgaon Mall', 'Golf Course Ext Rd', 'Badshahpur Sohna Rd Hwy', 'DPS International Edge', 'Sushant University', 'Park Hospital', 'Indira Gandhi Intl Airport']","Looking for a 4 bhk property for sale in gurgaon? Buy this 4 bhk flat in emaar mgf palm terraces select that is situated in sector 66 gurgaon. This residential flat is north-East-Facing direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, t...","['3 Wardrobe', '1 Water Purifier', '10 Fan', '1 Exhaust Fan', '19 Light', '7 AC', '1 Chimney', '1 Modular Kitchen', '1 Curtains', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",A80463169
,"4 BHK Flatin Sector 65, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-polo-suites-sector-65-gurgaon-4995-sq-ft-spid-S80416307,,  M3M Polo Suites,12.75 Crore,4995,,4 Bedrooms,6 Bathrooms,"Pooja Room,Servant Room","M3M Polo Suites Sector 65, Gurgaon",12nd   of 21 Floors,West,1 to 5 Year Old,"['AIPL Joy Centre', 'Golf Course Ext. Road', 'NH 48', 'Basant Valley Global School', 'Gurugram University', 'DPG Institute of Technology', 'Park Hospital (Gurugram)', 'Indira Gandhi International Airport', 'iON Digital Zone', 'DoubleTree by Hilton', 'SkyJumper Trampoline Park', 'PVR Drive in Theatre']","This 4 bhk apartment is available for sale in m3m polo suites, one of the most prominent projects for flats in sector 65 gurgaon. This is a west-Facing property. The flat occupies a super built up area of 4995 sq.Ft. That consists of 4 bedrooms, 6 bathrooms and more than 3 balconies. The residential...","['5 Wardrobe', '6 Fan', '1 Exhaust Fan', '5 Geyser', '28 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",S80416307
,"4 BHK Flatin Sector 72, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tata-primanti-sector-72-gurgaon-2605-sq-ft-spid-D80370851,4,  Tata Primanti,4.75 Crore,2605,1800,4 Bedrooms,6 Bathrooms,"Study Room,Servant Room","Tata Primanti Sector 72, Gurgaon",10th   of 40 Floors,North-East,1 to 5 Year Old,"['Sector 55-56 Metro Station', 'Omaxe City Centre', 'Badshahpur Sohna Rd Highway', 'Pallavan PreSchool, Sohna Road', 'RBSM Public school', 'Polaris Hospital', 'Indira Gandhi International Airport', 'Gurgaon Old Railway Road', 'Spaze Itech Park', 'Radisson Hotel Gurugram Sohna Road']","Situated in sector 72 gurgaon, tata primanti is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in gurgaon is your opportunity to be a part of this community. This is a north-East-Facing property. The flat is over 2605 sq.Ft. Super built up area and ...","['1 Water Purifier', '8 Fan', '1 Exhaust Fan', '6 Geyser', '1 Stove', '22 Light', '6 AC', '1 Modular Kitchen', '1 Curtains', '1 Chimney', '6 Wardrobe', '1 Microwave', '1 Washing Machine', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",D80370851
,"3 BHK Flatin Sector 37D, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-primera-sector-37d-gurgaon-1800-sq-ft-spid-I80318845,3.5,  Ramprastha Primera,1.7 Crore,1800,1700,3 Bedrooms,3 Bathrooms,Pooja Room,"Ramprastha Primera Sector 37D, Gurgaon",6th   of 22 Floors,,0 to 1 Year Old,"['JMS Marine Square Mall', 'HUDA Market', 'Dwarka Expressway', 'Delhi Jaipur Expressway', 'Blue Bells Public School', 'SGT University', 'Medanta The Medicity', 'Indira Gandhi International Airport', 'infinity Business Park', 'Holiday Inn Gurugram Sector 90']","This 3 bhk apartment is available for sale in ramprastha primera, one of the most prominent projects for flats in sector 37d gurgaon. The flat occupies a super built up area of 1800 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The flat has a total of 22 floors and this property i...","['3 Wardrobe', '4 Fan', '4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",I80318845
,"3 BHK Flatin Sector 81, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1560-sq-ft-spid-G80344227,3.8,  Vipul Lavanya,1.42 Crore,1560,,3 Bedrooms,3 Bathrooms,Store Room,"Vipul Lavanya Sector 81, Gurgaon",12nd   of 14 Floors,North-East,5 to 10 Year Old,"['Millennium City Centre Gurugram', 'Town Square 2', 'Manesar Road', 'Sh. S. N. Sidheshwar Sr. Sec. Public', 'Singhania University', 'Fortis Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Unitech Business Park', 'Kaara', 'AapnoGhar', 'Manesar Golf Course', 'Nakhrola Stadium']","Vipul lavanya is one of the most popular destination for buying apartments/ flats in sector 81 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This property faces the east direction. Constructed on a super built up area of 1560 sq.Ft., the flat comprises 3 bedroom(...","['3 Wardrobe', '1 Exhaust Fan', '12 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",G80344227
,"3 BHK Flatin Sector 103, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-centrum-park-sector-103-gurgaon-1790-sq-ft-r1-spid-H79044493,3.8,  Indiabulls Centrum Park,1.8 Crore,1790,1510,3 Bedrooms,3 Bathrooms,Study Room,"Indiabulls Centrum Park Sector 103, Gurgaon",5th   of 18 Floors,West,1 to 5 Year Old,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Emaar Business Park', 'Country Inn and Suites by Radisson', 'Sector 29 Gurgaon Pubs and Bars', 'HUDA Mini Golf Course', 'Infinitys Badminton Academy', 'F9 Go Karting Gurgaon']","This 3 bhk apartment is available for sale in indiabulls centrum park, one of the most prominent projects for flats in sector 103 gurgaon. The flat is west-Facing. Containing 3 bedroom(s), 3 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1790 sq.Ft. This flat ...","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '15 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",H79044493
,"3 BHK Flatin Sector 37D, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-edge-towers-sector-37d-gurgaon-1770-sq-ft-r6-spid-Q61436684,3.5,  Ramprastha The Edge Towers,1.57 Crore,1770,1675,3 Bedrooms,3 Bathrooms,Store Room,"Ramprastha The Edge Towers Sector 37D, Gurgaon",6th   of 19 Floors,West,1 to 5 Year Old,"['The Esplanade Mall', 'Dwarka Express', 'Euro International School', 'Narayana Junior College', 'Yashroop Hospital', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'Aboard Offices Complex', 'Holiday Inn Hotel']","A 3 bhk flat in sector-37d gurgaon, gurgaon is available for sale.
It has 3 bathroom(s).
It has 3 balconies.
This flat has a super built up area of 1770 sq.Ft. The built-Up area is 1675 sq.Ft. Whereas the carpet area is 1550 sq.Ft.
 This flat is on the 6th floor of 19 floors.
 You get 1 covered park...","['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,Q61436684
,"3 BHK Flatin Sector 37D, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-edge-towers-sector-37d-gurgaon-1770-sq-ft-r9-spid-E61449810,3.5,  Ramprastha The Edge Towers,1.59 Crore,1770,1675,3 Bedrooms,3 Bathrooms,Pooja Room,"Ramprastha The Edge Towers Sector 37D, Gurgaon",5th   of 19 Floors,North-East,1 to 5 Year Old,"['The Esplanade Mall', 'Dwarka Express', 'Euro International School', 'Narayana Junior College', 'Yashroop Hospital', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'Aboard Offices Complex', 'Holiday Inn Hotel']","Expressway facing balcony, a 3bhk flat in sector-37d gurgaon, gurgaon is available for sale.
It has 3 bathroom(s).
It has 4 balconies.
This flat has a super built up area of 1380 sq.Ft. The super built-Up area is 1770 sq.Ft. Whereas the carpet area is 1100 sq.Ft.
 This flat is on the 5th floor of 19...","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,E61449810
