society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
"  tata primanti, sector 72, gurgaon",11.0,sector 72,15714.29,house,7000.0,9100.0,5950.0,7000.0,4.0,5.0,"  tata primanti, sector 72, gurgaon",2.0,north-east,relatively new property,3+,1,1,1,0,0,0,45
"  puri diplomatic greens, sector 111, gurgaon",8.5,sector 111,,house,,,,,6.0,8.0,"  puri diplomatic greens, sector 111, gurgaon",3.0,north,relatively new property,3+,1,1,1,0,1,1,201
"  tata primanti, sector 72, gurgaon",16.7,sector 72,19647.06,house,8500.0,11050.0,7225.0,8500.0,5.0,6.0,"  tata primanti, sector 72, gurgaon",5.0,west,relatively new property,3+,1,1,1,0,0,1,63
"  raheja revanta, sector 78, gurgaon",4.25,sector 78,,house,,,,,4.0,3.0,"  raheja revanta, sector 78, gurgaon",4.0,east,new property,2,0,1,0,0,0,2,69
  suncity essel towers,2.25,sector 28,,flat,,,,,3.0,3.0,"Suncity Essel Towers Sector 28, Gurgaon",7.0,east,old property,,0,0,0,0,1,1,203
  shree vardhman victoria,2.35,sector 70,12051.28,flat,1950.0,1950.0,1267.5,1560.0,3.0,4.0,"Shree Vardhman Victoria Sector 70, Gurgaon",7.0,north-east,relatively new property,,1,0,0,0,0,1,155
"  sushant lok phase 1, gurgaon",14.0,sector 43,,house,,,,,8.0,8.0,"  sushant lok phase 1, gurgaon",3.0,east,moderatly old property,3+,1,1,0,0,0,1,198
"  vatika signature villas, sector 82, gurgaon",5.7,sector 82,,house,,,,,3.0,2.0,"  vatika signature villas, sector 82, gurgaon",2.0,north-east,moderatly old property,2,0,0,0,0,0,1,136
  vatika gurgaon 21,1.9,sector 83,10951.01,flat,1735.0,1735.0,1127.75,1388.0,3.0,3.0,"Vatika Gurgaon 21 Sector 83, Gurgaon",8.0,east,moderatly old property,,0,0,0,0,0,2,94
"  eros rosewood city, sector 49, gurgaon",4.5,sector 49,,house,,,,,5.0,4.0,"  eros rosewood city, sector 49, gurgaon",2.0,north-east,old property,3,0,1,0,0,0,1,153
"  sector 31, gurgaon",9.05,sector 31,,house,,,,,7.0,7.0,"  sector 31, gurgaon",3.0,na,moderatly old property,3+,0,0,1,1,0,1,35
  ss the leaf,1.75,sector 85,10670.73,flat,1640.0,1640.0,984.0,1230.0,2.0,2.0,"SS The Leaf Sector 85, Gurgaon",8.0,east,relatively new property,,0,0,0,1,0,1,110
"  palam vihar, gurgaon",6.85,sector 1,,house,,,,,6.0,5.0,"  palam vihar, gurgaon",3.0,north,moderatly old property,3,1,1,0,0,1,2,80
  emaar digihomes,3.57,sector 62,23673.74,flat,1508.0,1508.0,904.8,1131.0,2.0,2.0,"Emaar Digihomes Sector 62, Gurgaon",3.0,east,relatively new property,,0,0,0,0,0,1,179
"  vatika signature villas, sector 82, gurgaon",6.0,sector 82,,house,,,,,4.0,6.0,"  vatika signature villas, sector 82, gurgaon",2.0,north-west,new property,3+,1,1,1,0,1,2,142
"  emaar mgf the vilas, dlf phase 2, gurgaon",19.9,sector 25,,house,,,,,4.0,4.0,"  emaar mgf the vilas, dlf phase 2, gurgaon",3.0,east,old property,3+,1,1,1,1,0,1,63
  bptp freedom park life,3.5,sector 57,13529.18,flat,2587.0,2587.0,1681.55,2069.6,3.0,4.0,"BPTP Freedom Park Life Sector 57, Gurgaon",5.0,north-east,moderatly old property,,0,1,1,0,0,1,146
