society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
  emaar palm gardens,2.7,sector 83,14210.53,flat,1900.0,1900.0,1235.0,1520.0,3.0,4.0,"Emaar Palm Gardens Sector 83, Gurgaon",10.0,north-east,relatively new property,,0,1,1,0,0,1,111
  paras dews,1.45,sector 106,10469.31,flat,1385.0,1385.0,831.0,1038.75,2.0,2.0,"Paras Dews Sector 106, Gurgaon",4.0,south-east,relatively new property,,0,0,1,0,0,2,93
  bestech park view ananda,2.06,sector 81,11508.38,flat,1790.0,1790.0,1163.5,1432.0,3.0,3.0,"Bestech Park View Ananda Sector 81, Gurgaon",12.0,west,relatively new property,,0,0,0,0,0,2,172
"  a block  palam vihar , palam vihar, gurgaon",2.25,sector 1,,house,,,,,4.0,4.0,"  a block  palam vihar , palam vihar, gurgaon",4.0,east,relatively new property,2,1,1,0,0,0,1,207
  godrej meridien,2.8,sector 106,15094.34,flat,1855.0,1855.0,1205.75,1484.0,3.0,3.0,"Godrej Meridien Sector 106, Gurgaon",8.0,east,relatively new property,,0,0,0,0,0,2,125
"  emaar mgf marbella, sector 66, gurgaon",12.0,sector 66,,house,,,,,4.0,6.0,"  emaar mgf marbella, sector 66, gurgaon",3.0,north,new property,3+,1,1,0,0,0,2,153
  paras dews,1.75,sector 106,9943.18,flat,1760.0,1760.0,1144.0,1408.0,3.0,4.0,"Paras Dews Sector 106, Gurgaon",11.0,north-east,relatively new property,,0,1,1,0,0,1,203
  vatika sovereign park,3.4,sector 99,12363.64,flat,2750.0,2750.0,1787.5,2200.0,3.0,4.0,"Vatika Sovereign Park Sector 99, Gurgaon",1.0,north,new property,,0,1,0,0,0,2,141
"  sobha international city phase 3, sector 109, gurgaon",15.0,sector 109,33333.33,house,4500.0,5850.0,3825.0,4500.0,5.0,5.0,"  sobha international city phase 3, sector 109, gurgaon",2.0,east,new property,3,0,0,0,1,0,2,63
"  dlf gardencity enclave, sector 93, gurgaon",1.85,sector 93,,house,,,,,3.0,3.0,"  dlf gardencity enclave, sector 93, gurgaon",4.0,east,under construction,2,0,0,0,0,0,1,199
  experion wdchants,11.75,sector 112,13799.18,flat,8515.0,8515.0,5960.5,7237.75,5.0,6.0,"Experion Windchants Sector 112, Gurgaon",25.0,east,new property,,0,1,1,0,0,1,197
"  sushant lok 3 extension, gurgaon",6.7,sector 57,,house,,,,,4.0,6.0,"  sushant lok 3 extension, gurgaon",3.0,east,relatively new property,2,1,1,1,0,0,1,63
  dlf new town heights 1,2.4,sector 90,10152.28,flat,2364.0,2364.0,1654.8,2009.3999999999999,4.0,4.0,"DLF New Town Heights 1 Sector 90, Gurgaon",10.0,north-east,relatively new property,,1,1,0,0,0,2,167
  central park flower valley aqua front towers,2.62,sector 33,14645.05,flat,1789.0,1789.0,1162.8500000000001,1431.2,3.0,3.0,"Central Park Flower Valley Aqua Front Towers Sector-33 Sohna, Gurgaon",8.0,east,new property,,0,0,0,0,0,1,183
"  sector 5, gurgaon",3.22,sector 5,,house,,,,,2.0,2.0,"  sector 5, gurgaon",1.0,east,old property,2,0,0,1,0,0,2,28
  anant raj estates,4.1,sector 63,,flat,,,,,3.0,3.0,"Anant Raj Estates Sector 63A, Gurgaon",3.0,east,relatively new property,,0,1,0,0,0,2,101
  bestech park view grand spa,4.6,sector 81,13256.48,flat,3470.0,3470.0,2429.0,2949.5,4.0,6.0,"Bestech Park View Grand Spa Sector 81, Gurgaon",8.0,north,moderatly old property,,0,1,1,0,0,1,145
"  sushant lok 1 , sushant lok phase 1, gurgaon",12.5,sector 43,,house,,,,,9.0,10.0,"  sushant lok 1 , sushant lok phase 1, gurgaon",2.0,east,old property,3+,1,1,1,1,0,1,63
  la vida by tata housg,3.15,sector 113,,flat,,,,,3.0,4.0,"La Vida by Tata Housing Sector 113, Gurgaon",16.0,east,relatively new property,,0,1,0,0,0,2,38
"  vipul tatvam villa, sector 48, gurgaon",12.0,sector 48,,house,,,,,4.0,4.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,north,moderatly old property,3+,0,1,0,0,1,0,207
  shapoorji pallonji joyville gurugram,2.45,sector 102,14479.91,flat,1692.0,1692.0,1099.8,1353.6000000000001,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",10.0,south,relatively new property,,0,0,0,0,0,2,203
  emaar palm gardens,2.65,sector 83,,flat,,,,,3.0,3.0,"Emaar Palm Gardens Sector 83, Gurgaon",7.0,north,moderatly old property,,0,1,0,0,0,1,195
  ramprastha the edge towers,1.45,sector 37,8656.72,flat,1675.0,1675.0,1088.75,1340.0,3.0,3.0,"Ramprastha The Edge Towers Sector 37D, Gurgaon",4.0,east,new property,,0,0,0,0,0,2,195
"  vipul tatvam villa, sector 48, gurgaon",11.38,sector 48,22760.0,house,5000.0,6500.0,4250.0,5000.0,4.0,4.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,north,moderatly old property,3+,1,1,1,1,0,0,63
  shapoorji pallonji joyville gurugram,2.5,sector 102,13683.63,flat,1827.0,1827.0,1187.55,1461.6000000000001,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",8.0,east,new property,,1,1,1,0,0,2,81
"  vipul tatvam villa, sector 48, gurgaon",11.25,sector 48,,house,,,,,4.0,5.0,"  vipul tatvam villa, sector 48, gurgaon",3.0,east,relatively new property,3+,1,1,1,1,0,2,63
  paras dews,1.7,sector 106,9659.09,flat,1760.0,1760.0,1144.0,1408.0,3.0,4.0,"Paras Dews Sector 106, Gurgaon",11.0,north-west,relatively new property,,0,1,1,0,0,1,211
"  rajendra park, gurgaon",0.65,sector 105,7222.22,house,900.0,1125.0,720.0,900.0,3.0,1.0,"  rajendra park, gurgaon",2.0,west,old property,1,0,1,0,0,1,2,18
  m3m golfestate,8.6,sector 65,24501.42,flat,3510.0,3510.0,2457.0,2983.5,4.0,4.0,"M3M Golfestate Sector 65, Gurgaon",21.0,north,relatively new property,,1,1,1,0,1,0,221
  antriksh heights,1.5,sector 84,8219.18,flat,1825.0,1825.0,1186.25,1460.0,3.0,3.0,"Antriksh Heights Sector 84, Gurgaon",7.0,west,relatively new property,,0,0,0,0,0,2,61
  godrej meridien,2.0,sector 106,,flat,,,,,2.0,3.0,"Godrej Meridien Sector 106, Gurgaon",7.0,north-east,relatively new property,,0,1,0,0,0,1,203
"  sector 51, gurgaon",4.0,sector 51,,house,,,,,6.0,6.0,"  sector 51, gurgaon",3.0,east,new property,3+,1,0,0,0,0,0,63
"  dlf phase 4, gurgaon",13.0,sector 28,,house,,,,,8.0,7.0,"  dlf phase 4, gurgaon",3.0,north,moderatly old property,3+,0,1,0,0,0,2,149
  m3m woodshire,1.8,sector 107,9264.02,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",12.0,north-east,relatively new property,,0,0,0,0,0,1,203
  emaar mgf the palm drive,7.6,sector 66,19000.0,flat,4000.0,4000.0,2800.0,3400.0,4.0,4.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",1.0,south,moderatly old property,,0,1,0,0,0,1,205
  vipul greens,3.25,sector 48,17150.4,flat,1895.0,1895.0,1231.75,1516.0,3.0,4.0,"Vipul Greens Sector 48, Gurgaon",10.0,north,old property,,0,1,1,0,0,1,188
  dlf the ultima,4.73,sector 81,16469.36,flat,2872.0,2872.0,2010.3999999999999,2441.2,4.0,4.0,"DLF The Ultima Sector 81, Gurgaon",10.0,west,relatively new property,,0,1,0,0,0,0,221
"  dlf city plots, dlf phase 1, gurgaon",5.13,sector 26,,house,,,,,4.0,4.0,"  dlf city plots, dlf phase 1, gurgaon",2.0,north-east,moderatly old property,3+,0,0,0,0,1,2,141
  tulip yellow,2.35,sector 69,13791.08,flat,1704.0,1704.0,1107.6000000000001,1363.2,3.0,3.0,"Tulip Yellow Sector 69, Gurgaon",3.0,east,relatively new property,,0,0,0,0,0,2,221
  experion the heartsong,2.3,sector 108,11482.78,flat,2003.0,2003.0,1301.95,1602.4,3.0,4.0,"Experion The Heartsong Sector 108, Gurgaon",7.0,north-east,relatively new property,,0,1,0,0,0,2,141
"  cyber city, t block, dlf phase 3, gurgaon",8.36,sector 23,29058.05,house,2877.0,3740.1,2445.45,2877.0,6.0,6.0,"  cyber city, t block, dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3+,0,1,0,0,0,1,166
"  ardee city, gurgaon",7.85,sector 52,29074.07,house,2700.0,3510.0,2295.0,2700.0,9.0,9.0,"  ardee city, gurgaon",3.0,east,old property,3+,0,1,0,0,0,1,67
  adani m2k oyster grande,2.2,sector 102,13025.46,flat,1689.0,1689.0,1097.8500000000001,1351.2,3.0,3.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",9.0,north,new property,,1,0,0,0,0,2,91
  emaar palm gardens,2.3,sector 83,13372.09,flat,1720.0,1720.0,1118.0,1376.0,3.0,3.0,"Emaar Palm Gardens Sector 83, Gurgaon",5.0,west,relatively new property,,0,1,0,0,0,1,221
  bestech park view ananda,1.86,sector 81,11204.82,flat,1660.0,1660.0,1079.0,1328.0,3.0,2.0,"Bestech Park View Ananda Sector 81, Gurgaon",5.0,north-west,moderatly old property,,0,0,0,0,0,1,110
  godrej icon,2.1,sector 88,11506.85,flat,1825.0,1825.0,1186.25,1460.0,3.0,3.0,"Godrej Icon Sector 88A, Gurgaon",8.0,east,relatively new property,,0,0,0,0,1,2,194
  ats kocoon,2.9,sector 109,13842.48,flat,2095.0,2095.0,1361.75,1676.0,3.0,4.0,"ATS Kocoon Sector 109, Gurgaon",14.0,east,relatively new property,,0,1,0,0,0,1,221
"  ardee city, sector 52, gurgaon",6.55,sector 52,,house,,,,,6.0,6.0,"  ardee city, sector 52, gurgaon",3.0,east,moderatly old property,3+,1,0,1,0,0,1,28
"  palm floors 1, sector 45, gurgaon",20.0,sector 45,44444.44,house,4500.0,5850.0,3825.0,4500.0,16.0,20.0,"  palm floors 1, sector 45, gurgaon",4.0,north-east,new property,3+,1,1,1,1,0,0,63
  msl apartments,1.8,sector 1,6666.67,flat,2700.0,2700.0,1889.9999999999998,2295.0,4.0,4.0,"MSL Apartments Sector 1A IMT Manesar, Gurgaon",6.0,north,moderatly old property,,0,1,0,0,0,2,63
"  block b rajendra park, gurgaon",0.6,sector 105,13462.57,house,445.68,579.384,378.828,445.68,6.0,3.0,"  block b rajendra park, gurgaon",2.0,south,old property,2,0,0,0,0,0,2,8
  godrej oasis,2.0,sector 88,10810.81,flat,1850.0,1850.0,1202.5,1480.0,3.0,3.0,"Godrej Oasis Sector 88A, Gurgaon",8.0,east,relatively new property,,0,0,0,0,1,1,195
  m3m merl,5.9,sector 67,18706.4,flat,3154.0,3154.0,2207.7999999999997,2680.9,4.0,4.0,"M3M Merlin Sector 67, Gurgaon",0.0,east,relatively new property,,0,1,0,0,0,1,88
"  dlf city phase 1, sector 26, gurgaon",25.0,sector 26,55555.56,house,4500.0,5850.0,3825.0,4500.0,7.0,7.0,"  dlf city phase 1, sector 26, gurgaon",2.0,north-east,relatively new property,3,1,1,0,0,0,0,176
  ats tourmale,2.06,sector 109,11771.43,flat,1750.0,1750.0,1137.5,1400.0,3.0,3.0,"ATS Tourmaline Sector 109, Gurgaon",19.0,south,relatively new property,,1,0,0,0,0,1,87
  puri emerald bay,3.45,sector 104,14081.63,flat,2450.0,2450.0,1592.5,1960.0,3.0,4.0,"Puri Emerald Bay Sector 104, Gurgaon",10.0,west,relatively new property,,0,1,0,0,0,2,77
"  international city by sobha phase 1, sector 109, gurgaon",16.25,sector 109,,house,,,,,4.0,4.0,"  international city by sobha phase 1, sector 109, gurgaon",3.0,north-east,relatively new property,3,0,1,0,0,0,1,207
  conscient elevate,5.4,sector 59,23529.41,flat,2295.0,2295.0,1491.75,1836.0,3.0,4.0,"Conscient Elevate Sector 59, Gurgaon",17.0,north-east,new property,,1,1,0,0,0,1,201
  aipl the peaceful homes,4.72,sector 70,16136.75,flat,2925.0,2925.0,2047.4999999999998,2486.25,4.0,5.0,"AIPL The Peaceful Homes Sector 70A, Gurgaon",21.0,north-east,relatively new property,,0,1,0,0,0,1,213
  m3m heights,3.5,sector 65,,flat,,,,,3.0,3.0,"M3M Heights Sector 65, Gurgaon",5.0,north-west,relatively new property,,0,0,1,0,0,0,46
  bestech park view grand spa,5.3,sector 81,12619.05,flat,4200.0,4200.0,2940.0,3570.0,4.0,6.0,"Bestech Park View Grand Spa Sector 81, Gurgaon",20.0,west,relatively new property,,0,1,0,0,0,0,188
"  dlf city plots, dlf phase 1, gurgaon",19.0,sector 26,42054.01,house,4518.0,5873.400000000001,3840.2999999999997,4518.0,5.0,6.0,"  dlf city plots, dlf phase 1, gurgaon",4.0,east,moderatly old property,3+,1,1,1,0,1,1,148
"  unitech deerwood chase, nirvana country, gurgaon",12.0,sector 50,,house,,,,,4.0,5.0,"  unitech deerwood chase, nirvana country, gurgaon",2.0,north-east,old property,3+,0,1,0,0,1,2,161
"  block b sushant lok 3, gurgaon",7.5,sector 57,,house,,,,,8.0,8.0,"  block b sushant lok 3, gurgaon",3.0,north-west,relatively new property,3+,0,0,0,1,0,1,79
  pareena express heights,2.18,sector 99,10139.53,flat,2150.0,2150.0,1397.5,1720.0,3.0,3.0,"Pareena Express Heights Sector 99, Gurgaon",7.0,north-east,relatively new property,,0,1,0,0,0,2,187
  central park flower valley aqua front towers,2.75,sector 33,12886.6,flat,2134.0,2134.0,1387.1000000000001,1707.2,3.0,3.0,"Central Park Flower Valley Aqua Front Towers Sector-33 Sohna, Gurgaon",7.0,north,new property,,0,1,0,0,0,2,203
"  ats marigold, sector 89 a, gurgaon",7.5,sector 89,9834.78,house,7626.0,9913.800000000001,6482.099999999999,7626.0,4.0,4.0,"  ats marigold, sector 89 a, gurgaon",2.0,north-east,under construction,3+,0,1,0,0,0,2,207
  dlf the skycourt,2.27,sector 86,11767.76,flat,1929.0,1929.0,1253.8500000000001,1543.2,3.0,4.0,"DLF The Skycourt Sector 86, Gurgaon",7.0,east,relatively new property,,0,0,1,0,0,2,211
"  suncity, gurgaon",15.51,sector 54,,house,,,,,6.0,7.0,"  suncity, gurgaon",3.0,north-east,relatively new property,3,1,1,1,0,1,1,190
  tata primanti,5.5,sector 72,18932.87,flat,2905.0,2905.0,2033.4999999999998,2469.25,4.0,5.0,"Tata Primanti Sector 72, Gurgaon",22.0,east,moderatly old property,,0,1,0,0,0,1,221
  conscient elevate,6.2,sector 59,,flat,,,,,3.0,3.0,"Conscient Elevate Sector 59, Gurgaon",9.0,east,relatively new property,,1,1,1,0,0,0,39
"  ansals florence marvel, sushant lok phase 3, gurgaon",7.25,sector 57,21804.51,house,3325.0,4322.5,2826.25,3325.0,5.0,6.0,"  ansals florence marvel, sushant lok phase 3, gurgaon",2.0,east,relatively new property,3+,1,1,1,1,0,0,177
  chtels serenity,3.44,sector 109,14484.21,flat,2375.0,2375.0,1543.75,1900.0,3.0,4.0,"Chintels Serenity Sector 109, Gurgaon",14.0,north-east,relatively new property,,0,1,0,0,0,2,110
  sobha city,4.21,sector 108,20309.71,flat,2072.9,2072.9,1347.3850000000002,1658.3200000000002,3.0,4.0,"Sobha City Sector 108, Gurgaon",19.0,na,new property,,0,0,0,0,0,2,131
"  dlf city phase 1, sector 26, gurgaon",4.8,sector 26,,house,,,,,5.0,6.0,"  dlf city phase 1, sector 26, gurgaon",3.0,north-east,old property,3+,1,1,1,1,0,0,63
  emaar gurgaon greens,1.87,sector 102,,flat,,,,,3.0,3.0,"Emaar Gurgaon Greens Sector 102, Gurgaon",12.0,east,moderatly old property,,0,1,1,0,0,2,137
"  ansals palam vihar, palam vihar, gurgaon",1.7,sector 1,,house,,,,,3.0,3.0,"  ansals palam vihar, palam vihar, gurgaon",3.0,west,moderatly old property,2,0,0,0,0,1,1,61
"  block b sushant lok 3, gurgaon",7.0,sector 57,,house,,,,,4.0,4.0,"  block b sushant lok 3, gurgaon",3.0,north-east,relatively new property,2,0,0,1,0,0,1,191
"  pocket e sector-21, gurgaon",6.0,pocket e sector-21,,house,,,,,9.0,9.0,"  pocket e sector-21, gurgaon",3.0,na,old property,3+,1,1,0,0,1,2,114
"  sector 14 rwa, sector 14, gurgaon",7.5,sector 14,,house,,,,,3.0,3.0,"  sector 14 rwa, sector 14, gurgaon",1.0,north-east,old property,2,1,0,0,0,0,2,6
  dlf new town heights 2,1.98,sector 86,10731.71,flat,1845.0,1845.0,1199.25,1476.0,3.0,4.0,"DLF New Town Heights 2 Sector 86, Gurgaon",14.0,east,relatively new property,,0,1,0,0,0,1,221
  dlf the icon,8.5,sector 54,33009.71,flat,2575.0,2575.0,1802.4999999999998,2188.75,4.0,4.0,"DLF The Icon DLF Phase 5, Gurgaon",8.0,north,relatively new property,,1,1,1,0,0,1,103
  orchid petals,4.16,sector 49,16237.31,flat,2562.0,2562.0,1793.3999999999999,2177.7,4.0,4.0,"Orchid Petals Uppals Southend, Gurgaon",1.0,east,relatively new property,,0,1,0,1,0,1,221
  sobha city,2.55,sector 108,18464.88,flat,1381.0,1381.0,828.6,1035.75,2.0,2.0,"Sobha City Sector 108, Gurgaon",7.0,north-east,relatively new property,,0,0,0,0,0,2,78
  dlf express greens,1.54,sector 1,6553.19,flat,2350.0,2350.0,1645.0,1997.5,4.0,5.0,"DLF Express Greens Sector 1A IMT Manesar, Gurgaon",19.0,east,moderatly old property,,0,1,0,0,0,2,63
"  dlf phase 2, gurgaon",10.0,sector 25,,house,,,,,9.0,9.0,"  dlf phase 2, gurgaon",2.0,east,moderatly old property,3+,0,1,0,0,0,2,92
  umang monsoon breeze,2.4,sector 78,10173.8,flat,2359.0,2359.0,1651.3,2005.1499999999999,4.0,5.0,"Umang Monsoon Breeze Sector 78, Gurgaon",8.0,north,moderatly old property,,1,1,0,0,0,1,173
  bestech park view ananda,2.15,sector 81,11878.45,flat,1810.0,1810.0,1176.5,1448.0,3.0,3.0,"Bestech Park View Ananda Sector 81, Gurgaon",5.0,west,relatively new property,,1,0,0,0,0,1,180
  ireo skyon,3.9,sector 60,19070.9,flat,2045.0,2045.0,1329.25,1636.0,3.0,4.0,"Ireo Skyon Sector 60, Gurgaon",6.0,south,moderatly old property,,0,1,0,0,0,1,137
"  garden villas, dlf phase 4, gurgaon",14.5,sector 28,,house,,,,,5.0,8.0,"  garden villas, dlf phase 4, gurgaon",3.0,north-east,moderatly old property,3+,1,1,1,0,1,1,148
  dlf the skycourt,2.4,sector 86,12441.68,flat,1929.0,1929.0,1253.8500000000001,1543.2,3.0,3.0,"DLF The Skycourt Sector 86, Gurgaon",11.0,north-east,relatively new property,,0,0,0,1,0,1,87
"  sushant lok -1 , a block sushant lok phase 1, gurgaon",13.99,sector 43,,house,,,,,9.0,10.0,"  sushant lok -1 , a block sushant lok phase 1, gurgaon",2.0,west,moderatly old property,3+,1,1,1,1,0,1,63
"  sushant lok phase 1, gurgaon",13.5,sector 43,,house,,,,,6.0,7.0,"  sushant lok phase 1, gurgaon",3.0,north-east,relatively new property,3+,1,1,1,0,1,1,190
  ss the leaf,3.37,sector 85,11984.35,flat,2812.0,2812.0,1968.3999999999999,2390.2,4.0,5.0,"SS The Leaf Sector 85, Gurgaon",6.0,north-east,relatively new property,,0,1,0,0,0,2,129
  m3m skycity,3.58,sector 65,18530.02,flat,1932.0,1932.0,1255.8,1545.6000000000001,3.0,3.0,"M3M Skycity Sector 65, Gurgaon",19.0,north-east,new property,,0,1,0,0,0,2,203
"  sector 45, gurgaon",9.0,sector 45,,house,,,,,12.0,12.0,"  sector 45, gurgaon",3.0,north-east,moderatly old property,3,0,0,0,0,1,2,8
  dlf the skycourt,2.37,sector 86,12286.16,flat,1929.0,1929.0,1253.8500000000001,1543.2,3.0,3.0,"DLF The Skycourt Sector 86, Gurgaon",9.0,east,relatively new property,,0,0,0,0,0,2,221
  emaar mgf emerald floors premier,3.0,sector 65,,flat,,,,,3.0,3.0,"Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",3.0,south,relatively new property,,0,1,1,0,0,0,214
  m3m golfestate,9.8,sector 65,22446.17,flat,4366.0,4366.0,3056.2,3711.1,4.0,4.0,"M3M Golfestate Sector 65, Gurgaon",15.0,north,relatively new property,,1,1,1,0,1,1,221
"  palam vihar, gurgaon",10.6,sector 1,22649.57,house,4680.0,6084.0,3978.0,4680.0,7.0,6.0,"  palam vihar, gurgaon",3.0,west,moderatly old property,3,1,1,1,0,1,2,81
  m3m woodshire,1.7,sector 107,8749.36,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",8.0,north,relatively new property,,1,0,0,0,0,1,221
"  sector 45, sector 45, gurgaon",3.15,sector 45,,house,,,,,3.0,3.0,"  sector 45, sector 45, gurgaon",2.0,east,old property,3,0,0,0,0,1,2,106
"  dlf phase 1, gurgaon",7.75,sector 26,,house,,,,,5.0,6.0,"  dlf phase 1, gurgaon",3.0,north-west,moderatly old property,2,1,1,0,0,0,2,199
"  ansals florence marvel, block b sushant lok 3, gurgaon",9.0,sector 57,20809.25,house,4325.0,5622.5,3676.25,4325.0,9.0,10.0,"  ansals florence marvel, block b sushant lok 3, gurgaon",3.0,east,relatively new property,3+,1,1,1,1,0,0,186
"  sector 31, gurgaon",8.9,sector 31,37600.34,house,2367.0,3077.1,2011.95,2367.0,10.0,10.0,"  sector 31, gurgaon",3.0,north-east,relatively new property,2,1,0,0,0,0,1,121
"  vatika signature villas, sector 82, gurgaon",6.0,sector 82,,house,,,,,5.0,5.0,"  vatika signature villas, sector 82, gurgaon",3.0,north,new property,3+,1,1,1,0,1,2,96
  pareena mi casa,1.78,sector 68,12002.7,flat,1483.0,1483.0,963.95,1186.4,3.0,2.0,"Pareena Mi Casa Sector 68, Gurgaon",10.0,east,new property,,0,0,0,0,0,1,221
"  nirvana country, gurgaon",12.98,sector 50,,house,,,,,6.0,7.0,"  nirvana country, gurgaon",4.0,north,moderatly old property,3+,1,1,1,0,1,1,199
"  dlf city plots, dlf phase 1, gurgaon",19.0,sector 26,52777.78,house,3600.0,4680.0,3060.0,3600.0,7.0,8.0,"  dlf city plots, dlf phase 1, gurgaon",3.0,north-east,new property,3+,1,1,1,0,0,2,26
"  emaar mgf marbella, sector 66, gurgaon",17.0,sector 66,,house,,,,,4.0,6.0,"  emaar mgf marbella, sector 66, gurgaon",2.0,north-west,relatively new property,3+,1,1,1,0,1,0,175
  tulip violet,3.22,sector 69,16019.9,flat,2010.0,2010.0,1407.0,1708.5,4.0,4.0,"Tulip Violet Sector 69, Gurgaon",9.0,north,relatively new property,,0,0,0,1,0,0,94
"  vipul tatvam villa, sector 48, gurgaon",21.0,sector 48,31028.37,house,6768.0,8798.4,5752.8,6768.0,5.0,6.0,"  vipul tatvam villa, sector 48, gurgaon",3.0,north-east,relatively new property,3,0,1,0,0,1,1,200
"  unitech nirvana birch court, nirvana country, gurgaon",10.1,sector 50,,house,,,,,3.0,3.0,"  unitech nirvana birch court, nirvana country, gurgaon",1.0,north-west,old property,3+,0,1,0,0,1,1,87
"  all punjabi welfare association, sector 23, gurgaon",3.75,sector 23,,house,,,,,4.0,3.0,"  all punjabi welfare association, sector 23, gurgaon",2.0,west,old property,2,1,0,0,0,1,1,124
  shapoorji pallonji joyville gurugram,2.38,sector 102,14260.04,flat,1669.0,1669.0,1084.8500000000001,1335.2,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",10.0,east,relatively new property,,0,0,0,0,0,1,211
  conscient elevate,4.9,sector 59,23389.02,flat,2095.0,2095.0,1361.75,1676.0,3.0,3.0,"Conscient Elevate Sector 59, Gurgaon",8.0,east,relatively new property,,0,0,0,0,0,1,221
  raisa residency,5.9,sector 59,,flat,,,,,4.0,5.0,"Raisina Residency Sector 59, Gurgaon",5.0,east,moderatly old property,,1,1,0,0,0,1,110
  la lagune,8.5,sector 54,26898.73,flat,3160.0,3160.0,2212.0,2686.0,4.0,6.0,"La Lagune Sector 54, Gurgaon",10.0,north-east,moderatly old property,,0,1,0,0,0,0,214
"  block c, sushant lok phase 1, gurgaon",7.25,sector 43,,house,,,,,9.0,9.0,"  block c, sushant lok phase 1, gurgaon",3.0,east,relatively new property,3+,0,1,0,0,0,1,65
"  dlf phase 3, u block dlf phase 3, gurgaon",2.9,sector 23,,house,,,,,5.0,5.0,"  dlf phase 3, u block dlf phase 3, gurgaon",5.0,north-east,old property,3+,1,0,0,0,0,1,33
"  suncity township, sector 54, gurgaon",10.8,sector 54,,house,,,,,5.0,6.0,"  suncity township, sector 54, gurgaon",2.0,east,relatively new property,3+,1,1,1,0,1,1,207
  suncity essel towers,2.3,sector 28,,flat,,,,,3.0,3.0,"Suncity Essel Towers Sector 28, Gurgaon",14.0,north-east,old property,,0,0,0,1,0,1,94
  m3m heights,3.88,sector 65,19019.61,flat,2040.0,2040.0,1326.0,1632.0,3.0,3.0,"M3M Heights Sector 65, Gurgaon",20.0,east,new property,,0,1,0,0,0,2,221
"  sector 57, block f sector 57, gurgaon",7.0,block f sector 57,,house,,,,,9.0,9.0,"  sector 57, block f sector 57, gurgaon",3.0,north,moderatly old property,3+,0,0,0,0,1,1,147
  antriksh heights,1.45,sector 84,8405.8,flat,1725.0,1725.0,1121.25,1380.0,3.0,3.0,"Antriksh Heights Sector 84, Gurgaon",10.0,north,relatively new property,,0,0,0,0,0,2,105
  ashiana the center court,1.85,sector 88,11821.09,flat,1565.0,1565.0,1017.25,1252.0,3.0,2.0,"Ashiana The Center Court Sector 88A, Gurgaon",12.0,east,relatively new property,,0,0,0,0,0,1,203
  m3m woodshire,1.85,sector 107,9521.36,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",12.0,east,relatively new property,,0,0,0,0,1,1,197
"  sushant lok phase 1, gurgaon",7.25,sector 43,,house,,,,,5.0,6.0,"  sushant lok phase 1, gurgaon",2.0,north-west,moderatly old property,2,1,1,0,0,1,1,199
"  sector 78, gurgaon",4.95,sector 78,,house,,,,,4.0,4.0,"  sector 78, gurgaon",26.0,na,under construction,3,0,1,0,0,0,2,78
  bestech park view ananda,1.8,sector 81,10843.37,flat,1660.0,1660.0,1079.0,1328.0,3.0,2.0,"Bestech Park View Ananda Sector 81, Gurgaon",7.0,south,moderatly old property,,0,0,0,0,0,2,110
  paras dews,1.42,sector 106,10252.71,flat,1385.0,1385.0,831.0,1038.75,2.0,2.0,"Paras Dews Sector 106, Gurgaon",4.0,north-east,relatively new property,,0,0,0,0,0,2,195
"  emaar mgf the vilas, dlf phase 2, gurgaon",17.0,sector 25,,house,,,,,5.0,5.0,"  emaar mgf the vilas, dlf phase 2, gurgaon",4.0,north,relatively new property,3+,1,1,1,0,1,0,207
"  eros rosewood city, sector 49, gurgaon",4.95,sector 49,,house,,,,,4.0,4.0,"  eros rosewood city, sector 49, gurgaon",3.0,east,moderatly old property,3,1,1,0,0,0,0,108
  ats triumph,2.6,sector 104,11353.71,flat,2290.0,2290.0,1488.5,1832.0,3.0,4.0,"ATS Triumph Sector 104, Gurgaon",12.0,south-east,relatively new property,,0,1,0,0,0,1,197
  ats triumph,3.65,sector 104,11587.3,flat,3150.0,3150.0,2205.0,2677.5,4.0,4.0,"ATS Triumph Sector 104, Gurgaon",12.0,north-east,relatively new property,,0,1,0,0,0,2,221
  dlf the primus,2.9,sector 82,16120.07,flat,1799.0,1799.0,1169.3500000000001,1439.2,3.0,3.0,"DLF The Primus Sector 82A, Gurgaon",15.0,south-west,relatively new property,,0,0,0,0,0,0,94
