,society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
1650,  tata gurgaon gateway,2.51,sector 113,15886.08,flat,1580.0,1580.0,948.0,1185.0,2.0,2.0,"Tata Gurgaon Gateway Sector 113, Gurgaon",10.0,north-east,relatively new property,,0,0,1,0,0,2,196
1651,"  suncity, gurgaon",12.15,sector 54,,house,,,,,5.0,6.0,"  suncity, gurgaon",3.0,north-east,relatively new property,3,1,1,0,0,1,1,190
1652,"  sector 57, gurgaon",8.5,sector 57,323193.92,house,263.0,341.90000000000003,223.54999999999998,263.0,10.0,9.0,"  sector 57, gurgaon",3.0,north-east,relatively new property,3+,0,0,0,0,0,2,125
1653,  ireo skyon,3.91,sector 60,19119.8,flat,2045.0,2045.0,1329.25,1636.0,3.0,4.0,"Ireo Skyon Sector 60, Gurgaon",3.0,south,moderatly old property,,0,1,0,0,0,1,137
1654,  adani m2k oyster grande,3.9,sector 102,12195.12,flat,3198.0,3198.0,2238.6,2718.2999999999997,4.0,4.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",16.0,east,relatively new property,,0,1,0,0,0,1,204
1655,  m3m heights,2.5,sector 65,17445.92,flat,1433.0,1433.0,859.8,1074.75,2.0,2.0,"M3M Heights Sector 65, Gurgaon",15.0,north-east,new property,,0,0,1,0,0,0,221
1656,"  sector 49, gurgaon",9.75,sector 49,46450.69,house,2099.0,2728.7000000000003,1784.1499999999999,2099.0,5.0,5.0,"  sector 49, gurgaon",3.0,west,relatively new property,2,1,1,0,0,0,1,46
1657,"  block h block d sector 46, gurgaon",5.99,sector 46,372049.69,house,161.0,209.3,136.85,161.0,7.0,7.0,"  block h block d sector 46, gurgaon",4.0,na,old property,3+,1,0,1,0,0,2,35
1658,  ss the leaf,2.7,sector 85,11212.62,flat,2408.0,2408.0,1565.2,1926.4,3.0,4.0,"SS The Leaf Sector 85, Gurgaon",11.0,east,relatively new property,,0,1,0,0,0,2,77
1659,"  vishnu garden, gurgaon",0.95,sector 105,14615.38,house,650.0,812.5,520.0,650.0,3.0,3.0,"  vishnu garden, gurgaon",2.0,north,relatively new property,2,0,0,0,0,0,2,15
1660,  tulip purple,2.78,sector 69,11583.33,flat,2400.0,2400.0,1680.0,2040.0,4.0,5.0,"Tulip Purple Sector 69, Gurgaon",8.0,south-east,relatively new property,,0,1,0,0,0,2,110
1661,  m3m merl,5.9,sector 67,18706.4,flat,3154.0,3154.0,2207.7999999999997,2680.9,4.0,5.0,"M3M Merlin Sector 67, Gurgaon",1.0,north,new property,,0,1,0,0,0,2,80
1662,  tulip purple,2.63,sector 69,10958.33,flat,2400.0,2400.0,1680.0,2040.0,4.0,5.0,"Tulip Purple Sector 69, Gurgaon",6.0,north,relatively new property,,0,1,0,0,0,2,64
1663,  imperia the esfera,1.65,sector 37,8108.11,flat,2035.0,2035.0,1322.75,1628.0,3.0,3.0,"Imperia The Esfera Sector 37C, Gurgaon",11.0,north,relatively new property,,0,1,1,0,0,2,96
1664,"  emaar mgf marbella, sector 66, gurgaon",17.7,sector 66,354000.0,house,500.0,650.0,425.0,500.0,5.0,6.0,"  emaar mgf marbella, sector 66, gurgaon",4.0,west,relatively new property,3,1,1,1,0,1,1,198
1665,  bestech park view grand spa,5.5,sector 81,13095.24,flat,4200.0,4200.0,2940.0,3570.0,4.0,6.0,"Bestech Park View Grand Spa Sector 81, Gurgaon",25.0,west,relatively new property,,0,1,0,0,0,0,77
1666,  birla navya,3.6,sector 63,16744.19,flat,2150.0,2150.0,1397.5,1720.0,3.0,3.0,"Birla Navya Sector 63A, Gurgaon",4.0,north,relatively new property,,0,0,0,0,0,1,94
1667,  ireo victory valley,4.5,sector 67,17807.68,flat,2527.0,2527.0,1642.55,2021.6000000000001,3.0,3.0,"Ireo Victory Valley Sector 67, Gurgaon",20.0,east,relatively new property,,0,1,0,0,0,2,94
1668,  emaar mgf sky terraces,6.5,sector 66,19649.45,flat,3307.98,3307.98,2150.187,2646.384,3.0,5.0,"Emaar Mgf Sky Terraces Sector 66, Gurgaon",11.0,north,relatively new property,,0,1,0,1,0,2,101
1669,  sushant lok phase 1,5.75,sector 43,15892.76,flat,3618.0,3618.0,2532.6,3075.2999999999997,4.0,4.0,"sushant lok phase 1 Block C, Sushant Lok Phase 1, Gurgaon",1.0,na,new property,,1,1,1,0,1,1,109
1670,  ats kocoon,2.35,sector 109,13467.05,flat,1745.0,1745.0,1134.25,1396.0,3.0,3.0,"ATS Kocoon Sector 109, Gurgaon",8.0,west,relatively new property,,0,0,0,0,0,1,221
1671,  sobha city,4.0,sector 108,19305.02,flat,2072.0,2072.0,1346.8,1657.6000000000001,3.0,3.0,"Sobha City Sector 108, Gurgaon",15.0,north-east,new property,,0,0,0,0,0,2,163
1672,  pareena mi casa,2.45,sector 68,12256.13,flat,1999.0,1999.0,1299.3500000000001,1599.2,3.0,4.0,"Pareena Mi Casa Sector 68, Gurgaon",12.0,east,new property,,0,1,0,0,0,1,103
1673,  emaar mgf emerald floors premier,3.09,sector 65,,flat,,,,,3.0,3.0,"Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",2.0,south-east,relatively new property,,0,1,1,0,0,0,213
1674,  emaar mgf the palm drive,3.86,sector 66,19309.65,flat,1999.0,1999.0,1299.3500000000001,1599.2,3.0,3.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",7.0,north,relatively new property,,1,1,1,0,0,0,221
1675,"  sector 39, sector 39, gurgaon",6.5,sector 39,247148.29,house,263.0,341.90000000000003,223.54999999999998,263.0,9.0,9.0,"  sector 39, sector 39, gurgaon",3.0,north-east,relatively new property,3,0,0,0,0,0,1,111
1676,"  sector 9, gurgaon",9.5,sector 9,172101.45,house,552.0,717.6,469.2,552.0,4.0,4.0,"  sector 9, gurgaon",4.0,north-east,relatively new property,3+,0,0,0,0,1,2,183
1677,"  huda flats, sector 51, gurgaon",3.98,sector 51,398000.0,house,100.0,130.0,85.0,100.0,7.0,7.0,"  huda flats, sector 51, gurgaon",3.0,west,relatively new property,3+,0,0,0,0,0,1,39
1678,"  rosewood city, gurgaon",17.5,sector 49,290697.67,house,602.0,782.6,511.7,602.0,4.0,4.0,"  rosewood city, gurgaon",2.0,east,moderatly old property,3,1,1,1,1,0,2,63
1679,"  orchid petals, sector 49, gurgaon",18.0,sector 49,360000.0,house,500.0,650.0,425.0,500.0,5.0,6.0,"  orchid petals, sector 49, gurgaon",3.0,south,new property,3+,0,1,1,0,1,1,99
1680,"  block q south city 1, gurgaon",2.3,block q sector 41,383333.33,house,60.0,75.0,48.0,60.0,3.0,3.0,"  block q south city 1, gurgaon",3.0,east,moderatly old property,3,0,0,0,1,0,2,63
1681,  alpha corp gurgaonone 84,2.5,sector 84,11140.82,flat,2244.0,2244.0,1458.6000000000001,1795.2,3.0,3.0,"Alpha Corp GurgaonOne 84 Sector 84, Gurgaon",12.0,south-west,relatively new property,,0,1,0,0,0,2,70
1682,  indiabulls centrum park,1.55,sector 103,10465.9,flat,1481.0,1481.0,888.6,1110.75,2.0,2.0,"Indiabulls Centrum Park Sector 103, Gurgaon",8.0,north-east,relatively new property,,0,0,1,0,0,2,119
1683,  ats marigold,2.2,sector 89,12571.43,flat,1750.0,1750.0,1137.5,1400.0,3.0,3.0,"ATS Marigold Sector 89 A, Gurgaon",16.0,east,new property,,0,0,0,0,1,2,103
1684,  emaar mgf emerald floors premier,3.91,sector 65,,flat,,,,,4.0,4.0,"Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",2.0,east,relatively new property,,0,1,1,0,0,0,130
1685,"  independent villa, a block sushant lok phase 1, gurgaon",25.0,sector 43,307503.08,house,813.0,1056.9,691.05,813.0,5.0,6.0,"  independent villa, a block sushant lok phase 1, gurgaon",3.0,east,new property,3+,1,1,1,0,1,2,86
1686,"  south city 1, gurgaon",7.45,sector 41,310416.67,house,240.0,312.0,204.0,240.0,4.0,6.0,"  south city 1, gurgaon",3.0,north-east,moderatly old property,3,1,1,0,0,1,2,199
1687,  indiabulls centrum park,2.75,sector 103,9565.22,flat,2875.0,2875.0,2012.4999999999998,2443.75,4.0,6.0,"Indiabulls Centrum Park Sector 103, Gurgaon",3.0,north-east,relatively new property,,1,1,0,0,0,1,221
1688,"  vipul world, sector 48, gurgaon",6.01,sector 48,313020.83,house,192.0,249.60000000000002,163.2,192.0,9.0,9.0,"  vipul world, sector 48, gurgaon",3.0,north,moderatly old property,3+,0,0,0,0,0,1,190
1689,  emaar mgf the palm drive,4.1,sector 66,21025.64,flat,1950.0,1950.0,1267.5,1560.0,3.0,3.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",12.0,east,old property,,0,1,0,0,0,0,181
1690,"  laburnum victory floors, sector 63a, gurgaon",2.22,sector 63,,house,,,,,3.0,3.0,"  laburnum victory floors, sector 63a, gurgaon",4.0,south-east,new property,3+,0,0,0,1,0,0,63
1691,  antriksh heights,1.1,sector 84,8148.15,flat,1350.0,1350.0,810.0,1012.5,2.0,2.0,"Antriksh Heights Sector 84, Gurgaon",12.0,east,relatively new property,,0,0,1,0,0,2,80
1692,  m3m heights,3.9,sector 65,19461.08,flat,2004.0,2004.0,1302.6000000000001,1603.2,3.0,3.0,"M3M Heights Sector 65, Gurgaon",38.0,west,new property,,0,1,0,0,0,1,221
1693,  ss the leaf,3.4,sector 85,12095.34,flat,2811.0,2811.0,1967.6999999999998,2389.35,4.0,5.0,"SS The Leaf Sector 85, Gurgaon",3.0,north-east,relatively new property,,0,0,0,0,0,2,164
1694,"  sushant lok phase 3, gurgaon",7.5,sector 57,250000.0,house,300.0,375.0,240.0,300.0,3.0,3.0,"  sushant lok phase 3, gurgaon",2.0,east,moderatly old property,2,1,1,1,0,0,0,184
1695,  puri diplomatic greens,3.2,sector 111,18823.53,flat,1700.0,1700.0,1105.0,1360.0,3.0,3.0,"Puri Diplomatic Greens Sector 111, Gurgaon",5.0,south-west,relatively new property,,0,0,0,0,0,2,87
1696,"  dlf city plots, dlf phase 1, gurgaon",7.25,sector 26,362500.0,house,200.0,260.0,170.0,200.0,5.0,4.0,"  dlf city plots, dlf phase 1, gurgaon",3.0,north-east,moderatly old property,3+,1,1,1,1,0,1,63
1697,"  dlf phase 2, gurgaon",28.75,sector 25,63888.89,house,4500.0,5850.0,3825.0,4500.0,16.0,16.0,"  dlf phase 2, gurgaon",4.0,north-west,new property,3+,1,1,1,1,0,0,63
1698,"  block c, sushant lok phase 1, gurgaon",11.5,sector 43,522727.27,house,220.0,286.0,187.0,220.0,20.0,20.0,"  block c, sushant lok phase 1, gurgaon",4.0,na,relatively new property,3+,0,1,0,0,1,0,46
1699,  samanvay apartment,2.5,sector 56,10869.57,flat,2300.0,2300.0,1495.0,1840.0,3.0,4.0,"Samanvay Apartment Sector 56, Gurgaon",6.0,north,old property,,0,1,0,1,0,1,135
1700,"  sector 78, gurgaon",4.25,sector 78,,house,,,,,4.0,3.0,"  sector 78, gurgaon",4.0,na,new property,2,0,1,0,0,0,2,45
1701,  signature global city 92,1.15,sector 92,,flat,,,,,2.0,2.0,"Signature Global City 92 Sector 92, Gurgaon",1.0,na,new property,,0,0,0,0,0,2,50
1702,  dlf the primus,2.95,sector 82,16398.0,flat,1799.0,1799.0,1169.3500000000001,1439.2,3.0,3.0,"DLF The Primus Sector 82A, Gurgaon",23.0,east,relatively new property,,0,0,0,1,0,0,221
1703,  aipl the peaceful homes,3.56,sector 70,16558.14,flat,2150.0,2150.0,1397.5,1720.0,3.0,3.0,"AIPL The Peaceful Homes Sector 70A, Gurgaon",24.0,north-east,new property,,0,0,1,0,0,1,115
1704,"  f block, palam vihar, gurgaon",6.75,sector 1,187500.0,house,360.0,468.0,306.0,360.0,8.0,9.0,"  f block, palam vihar, gurgaon",3.0,na,moderatly old property,2,1,1,1,0,1,1,139
1705,"  dlf city plots phase 2, dlf phase 2, gurgaon",23.5,sector 25,468127.49,house,502.0,652.6,426.7,502.0,5.0,6.0,"  dlf city plots phase 2, dlf phase 2, gurgaon",3.0,north-east,old property,3+,1,1,1,0,1,1,93
1706,"  dlf phase 1, gurgaon",3.55,sector 26,,house,,,,,4.0,4.0,"  dlf phase 1, gurgaon",3.0,east,relatively new property,3,0,1,1,0,0,1,115
1707,  m3m heights,3.4,sector 65,18599.56,flat,1828.0,1828.0,1188.2,1462.4,3.0,3.0,"M3M Heights Sector 65, Gurgaon",30.0,na,new property,,0,0,0,0,0,0,39
1708,"  bestech park view ananda, sector 81, gurgaon",9.5,sector 81,17399.27,house,5460.0,7098.0,4641.0,5460.0,6.0,6.0,"  bestech park view ananda, sector 81, gurgaon",3.0,north-east,relatively new property,3+,0,1,0,0,0,1,111
1709,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",3.45,sector 43,575000.0,house,60.0,78.0,51.0,60.0,10.0,10.0,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",5.0,north-east,relatively new property,3+,0,0,1,0,0,0,176
1710,  bptp terra,2.1,sector 37,11462.88,flat,1832.0,1832.0,1190.8,1465.6000000000001,3.0,3.0,"BPTP Terra Sector 37D, Gurgaon",10.0,east,relatively new property,,0,0,0,0,1,1,133
1711,"  dipendant house  gurugram , patel nagar, gurgaon",3.7,sector 15,18500.0,house,2000.0,2600.0,1700.0,2000.0,10.0,4.0,"  dipendant house  gurugram , patel nagar, gurgaon",4.0,south-east,relatively new property,3+,1,1,1,1,0,2,7
1712,  paras dews,1.41,sector 106,10180.51,flat,1385.0,1385.0,831.0,1038.75,2.0,2.0,"Paras Dews Sector 106, Gurgaon",2.0,south-west,relatively new property,,0,0,0,0,0,2,195
1713,"  ansals palam vihar, pocket c, palam vihar, gurgaon",3.55,"pocket c, sector 1",205202.31,house,173.0,224.9,147.04999999999998,173.0,4.0,4.0,"  ansals palam vihar, pocket c, palam vihar, gurgaon",3.0,south,moderatly old property,3,0,0,0,0,1,2,126
1714,  godrej air,3.6,sector 85,,flat,,,,,4.0,4.0,"Godrej Air Sector 85, Gurgaon",15.0,north,new property,,0,1,0,0,0,2,221
1715,"  vatika india next, sector 82, gurgaon",1.3,sector 82,13978.49,house,930.0,1116.0,697.5,930.0,2.0,2.0,"  vatika india next, sector 82, gurgaon",3.0,east,relatively new property,2,0,0,0,1,0,2,107
1716,  godrej air,2.9,sector 85,13621.42,flat,2129.0,2129.0,1383.8500000000001,1703.2,3.0,3.0,"Godrej Air Sector 85, Gurgaon",8.0,east,new property,,0,1,0,0,0,2,221
1717,  ireo skyon,4.4,sector 60,21359.22,flat,2060.0,2060.0,1339.0,1648.0,3.0,4.0,"Ireo Skyon Sector 60, Gurgaon",8.0,north,moderatly old property,,0,1,0,0,0,1,198
1718,"  sector 55, gurgaon",7.9,sector 55,63048.68,house,1253.0,1628.9,1065.05,1253.0,12.0,12.0,"  sector 55, gurgaon",4.0,north-east,relatively new property,3+,0,1,0,0,1,1,200
1719,"  pocket h, palam vihar, gurgaon",4.1,"pocket h, sector 1",236994.22,house,173.0,224.9,147.04999999999998,173.0,4.0,4.0,"  pocket h, palam vihar, gurgaon",3.0,east,relatively new property,2,1,1,1,0,1,1,132
1720,"  international city by sobha phase 1, sector 109, gurgaon",20.0,sector 109,400000.0,house,500.0,650.0,425.0,500.0,4.0,4.0,"  international city by sobha phase 1, sector 109, gurgaon",3.0,north-east,relatively new property,3+,1,1,1,0,1,1,180
1721,  umang wter hills,1.3,sector 77,9687.03,flat,1342.0,1342.0,805.1999999999999,1006.5,2.0,2.0,"Umang Winter Hills Sector 77, Gurgaon",7.0,north,relatively new property,,0,0,0,0,0,2,168
1722,  m3m golfestate,10.3,sector 65,20227.81,flat,5092.0,5092.0,3564.3999999999996,4328.2,4.0,4.0,"M3M Golfestate Sector 65, Gurgaon",19.0,north-east,relatively new property,,0,1,1,0,0,1,221
1723,"  new palam vihar phase 1, gurgaon",1.0,new sector 1ar phase 1,100000.0,house,100.0,120.0,75.0,100.0,2.0,2.0,"  new palam vihar phase 1, gurgaon",1.0,north,moderatly old property,0,0,0,0,1,0,2,10
1724,"  shapoorji pallonji joyville gurugram, sector 102, gurgaon",1.3,sector 102,13669.82,house,951.0,1141.2,713.25,951.0,2.0,2.0,"  shapoorji pallonji joyville gurugram, sector 102, gurgaon",24.0,east,new property,2,0,0,0,1,0,0,63
1725,  pareena the elite residences,1.7,sector 99,9115.28,flat,1865.0,1865.0,1212.25,1492.0,3.0,3.0,"Pareena The Elite Residences Sector 99, Gurgaon",10.0,north,relatively new property,,0,0,1,0,0,2,221
1726,"  dlf city plots phase 2, dlf phase 2, gurgaon",8.2,sector 25,410000.0,house,200.0,260.0,170.0,200.0,4.0,4.0,"  dlf city plots phase 2, dlf phase 2, gurgaon",2.0,na,old property,3,0,0,0,0,0,2,45
1727,  vatika city,2.8,sector 49,16776.51,flat,1669.0,1669.0,1084.8500000000001,1335.2,3.0,3.0,"Vatika City Sector 49, Gurgaon",6.0,south-west,relatively new property,,1,0,0,0,1,0,214
1728,"  greenwood city, gurgaon",11.25,sector 45,,house,,,,,5.0,6.0,"  greenwood city, gurgaon",3.0,north,relatively new property,3,1,1,0,0,1,1,190
1729,"  sector 40, gurgaon",7.5,sector 40,31685.68,house,2367.0,3077.1,2011.95,2367.0,9.0,9.0,"  sector 40, gurgaon",3.0,north-east,moderatly old property,2,1,0,0,0,0,1,127
1730,"  emaar mgf marbella, sector 66, gurgaon",17.8,sector 66,20941.18,house,8500.0,11050.0,7225.0,8500.0,5.0,6.0,"  emaar mgf marbella, sector 66, gurgaon",3.0,east,moderatly old property,3+,1,1,1,0,1,1,148
1731,"  keshav kunj, sector 105, gurgaon",0.95,sector 105,135714.29,house,70.0,87.5,56.0,70.0,3.0,2.0,"  keshav kunj, sector 105, gurgaon",2.0,north-west,relatively new property,2,1,0,1,0,0,2,104
1732,  ireo skyon,4.49,sector 60,21955.99,flat,2045.0,2045.0,1329.25,1636.0,3.0,4.0,"Ireo Skyon Sector 60, Gurgaon",7.0,south-west,relatively new property,,0,1,0,0,0,1,137
1733,  emaar gurgaon greens,1.88,sector 102,,flat,,,,,3.0,3.0,"Emaar Gurgaon Greens Sector 102, Gurgaon",5.0,north-west,relatively new property,,0,0,0,0,0,2,63
1734,"  tata primanti, sector 72, gurgaon",11.5,sector 72,399305.56,house,288.0,374.40000000000003,244.79999999999998,288.0,4.0,4.0,"  tata primanti, sector 72, gurgaon",3.0,north-east,moderatly old property,3+,1,1,1,0,1,1,207
1735,"  sector 38, gurgaon",6.5,sector 38,302325.58,house,215.0,279.5,182.75,215.0,8.0,8.0,"  sector 38, gurgaon",3.0,na,old property,3+,0,0,0,0,0,1,14
1736,  m3m heights,3.4,sector 65,18599.56,flat,1828.0,1828.0,1188.2,1462.4,3.0,3.0,"M3M Heights Sector 65, Gurgaon",18.0,east,relatively new property,,0,0,0,0,0,2,94
1737,  ireo uptown,3.12,sector 66,16684.49,flat,1870.0,1870.0,1215.5,1496.0,3.0,4.0,"Ireo Uptown Sector 66, Gurgaon",12.0,north-west,moderatly old property,,0,1,0,1,0,1,115
1738,"  ansal, sushant lok phase 2, gurgaon",12.5,sector 56,250000.0,house,500.0,650.0,425.0,500.0,10.0,10.0,"  ansal, sushant lok phase 2, gurgaon",4.0,east,moderatly old property,3+,1,1,1,0,1,1,103
1739,  tata gurgaon gateway,2.58,sector 113,16329.11,flat,1580.0,1580.0,948.0,1185.0,2.0,2.0,"Tata Gurgaon Gateway Sector 113, Gurgaon",15.0,north-west,relatively new property,,0,0,1,0,0,2,101
1740,  godrej meridien,3.25,sector 106,16233.77,flat,2002.0,2002.0,1301.3,1601.6000000000001,3.0,3.0,"Godrej Meridien Sector 106, Gurgaon",29.0,north,new property,,0,0,1,0,0,2,133
1741,  umang wter hills,1.9,sector 77,10428.1,flat,1822.0,1822.0,1184.3,1457.6000000000001,3.0,3.0,"Umang Winter Hills Sector 77, Gurgaon",3.0,north,relatively new property,,0,0,0,1,0,2,159
1742,"  bptp astaire gardens, sector 70a, gurgaon",8.0,sector 70,275862.07,house,290.0,377.0,246.5,290.0,4.0,4.0,"  bptp astaire gardens, sector 70a, gurgaon",4.0,north-east,relatively new property,3+,1,1,1,0,1,0,207
1743,"  cyber city, v block dlf phase 3, gurgaon",5.4,sector 23,36809.82,house,1467.0,1907.1000000000001,1246.95,1467.0,6.0,6.0,"  cyber city, v block dlf phase 3, gurgaon",3.0,east,relatively new property,3+,0,1,0,0,0,1,182
1744,  ireo victory valley,5.65,sector 67,19957.61,flat,2831.0,2831.0,1981.6999999999998,2406.35,4.0,4.0,"Ireo Victory Valley Sector 67, Gurgaon",4.0,south,moderatly old property,,0,1,0,0,0,1,159
1745,  sobha city,2.62,sector 108,18971.76,flat,1381.0,1381.0,828.6,1035.75,2.0,2.0,"Sobha City Sector 108, Gurgaon",3.0,south-east,relatively new property,,0,0,0,0,0,2,127
1746,"  a block sushant lok phase 1, gurgaon",14.0,sector 43,334928.23,house,418.0,543.4,355.3,418.0,7.0,5.0,"  a block sushant lok phase 1, gurgaon",3.0,east,old property,2,0,0,0,0,0,2,15
1747,"  block j pocket c palam vihar, gurgaon",5.7,block j pocket c sector 1,211111.11,house,270.0,351.0,229.5,270.0,6.0,5.0,"  block j pocket c palam vihar, gurgaon",3.0,na,relatively new property,2,1,1,1,0,1,1,156
1748,"  central park flower valley, sector-33 sohna, gurgaon",7.9,sector 33,316000.0,house,250.0,325.0,212.5,250.0,4.0,5.0,"  central park flower valley, sector-33 sohna, gurgaon",2.0,east,relatively new property,3,1,1,0,1,0,0,207
1749,  m3m heights,3.4,sector 65,18599.56,flat,1828.0,1828.0,1188.2,1462.4,3.0,3.0,"M3M Heights Sector 65, Gurgaon",6.0,north-east,relatively new property,,1,0,0,0,0,1,166
1750,"  unitech south city 2, sector 50, gurgaon",2.25,sector 50,41666.67,house,540.0,702.0,459.0,540.0,4.0,4.0,"  unitech south city 2, sector 50, gurgaon",4.0,north,moderatly old property,3+,0,0,0,1,0,1,45
1751,"  sector 39, sector 39, gurgaon",4.25,sector 39,263975.16,house,161.0,209.3,136.85,161.0,6.0,6.0,"  sector 39, sector 39, gurgaon",3.0,north-east,relatively new property,2,0,0,0,0,0,1,90
1752,  experion wdchants,5.0,sector 112,17844.4,flat,2802.0,2802.0,1821.3,2241.6,3.0,5.0,"Experion Windchants Sector 112, Gurgaon",11.0,north-west,relatively new property,,0,0,1,0,0,1,172
1753,"  palam vihar, gurgaon",11.0,sector 1,137500.0,house,800.0,1040.0,680.0,800.0,4.0,4.0,"  palam vihar, gurgaon",2.0,north,old property,2,1,1,0,0,0,2,8
1754,  emaar digihomes,6.1,sector 62,23563.13,flat,2588.79,2588.79,1682.7135,2071.032,3.0,3.0,"Emaar Digihomes Sector 62, Gurgaon",5.0,east,relatively new property,,0,1,0,0,0,0,221
1755,  unitech fresco,2.62,sector 50,13958.44,flat,1877.0,1877.0,1220.05,1501.6000000000001,3.0,4.0,"Unitech Fresco Nirvana Country, Gurgaon",5.0,north,relatively new property,,0,1,0,0,0,1,130
1756,  irwo westend towers,1.23,sector 47,13666.67,flat,900.0,900.0,540.0,675.0,2.0,2.0,"IRWO Westend Towers Sector 47, Gurgaon",7.0,south,old property,,0,0,0,0,0,2,63
1757,"  sushant lok 1 builder floors, sushant lok phase 1, gurgaon",13.75,sector 43,328947.37,house,418.0,543.4,355.3,418.0,7.0,9.0,"  sushant lok 1 builder floors, sushant lok phase 1, gurgaon",3.0,north-east,relatively new property,3+,1,1,1,0,1,1,207
1758,"  block c, sushant lok phase 1, gurgaon",12.95,sector 43,311298.08,house,416.0,540.8000000000001,353.59999999999997,416.0,6.0,6.0,"  block c, sushant lok phase 1, gurgaon",3.0,north-west,relatively new property,3+,1,1,1,0,1,0,192
1759,  m3m merl,5.15,sector 67,21840.54,flat,2358.0,2358.0,1532.7,1886.4,3.0,3.0,"M3M Merlin Sector 67, Gurgaon",11.0,north,moderatly old property,,0,1,0,0,0,1,126
1760,"  krisumi waterfall residences, sector 36a, gurgaon",10.75,sector 36,,house,,,,,4.0,4.0,"  krisumi waterfall residences, sector 36a, gurgaon",2.0,east,new property,3+,0,1,1,0,0,2,207
1761,"  unitech cyberpark, sector 39, gurgaon",5.6,sector 39,323699.42,house,173.0,224.9,147.04999999999998,173.0,8.0,8.0,"  unitech cyberpark, sector 39, gurgaon",4.0,na,moderatly old property,3+,0,0,0,0,0,0,40
1762,"  krishna homes, sector 30, gurgaon",7.1,sector 30,348039.22,house,204.0,265.2,173.4,204.0,7.0,7.0,"  krishna homes, sector 30, gurgaon",3.0,east,moderatly old property,3,1,1,0,0,1,1,118
1763,"  south city 1, block q south city 1, gurgaon",3.5,block q sector 41,583333.33,house,60.0,78.0,51.0,60.0,5.0,5.0,"  south city 1, block q south city 1, gurgaon",3.0,south-east,moderatly old property,3,1,0,0,0,0,2,71
1764,"  vipul tatvam villa, sector 48, gurgaon",15.0,sector 48,300000.0,house,500.0,650.0,425.0,500.0,4.0,4.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,north-east,moderatly old property,3+,0,1,0,0,1,1,155
1765,  emaar palm premier,2.4,sector 77,12000.0,flat,2000.0,2000.0,1300.0,1600.0,3.0,4.0,"Emaar Palm Premier Sector 77, Gurgaon",8.0,north-east,relatively new property,,0,1,0,0,0,1,32
1766,  experion wdchants,3.95,sector 112,16181.89,flat,2441.0,2441.0,1464.6,1830.75,2.0,3.0,"Experion Windchants Sector 112, Gurgaon",6.0,east,relatively new property,,0,0,0,0,0,1,139
1767,"  hsiidc plot sec-1 imt manesar, sector 1 imt manesar, gurgaon",7.5,sector 1s,166666.67,house,450.0,562.5,360.0,450.0,3.0,3.0,"  hsiidc plot sec-1 imt manesar, sector 1 imt manesar, gurgaon",1.0,west,moderatly old property,3+,0,1,0,0,0,2,8
1768,  sukhshanti apartment,2.3,sector 56,12105.26,flat,1900.0,1900.0,1235.0,1520.0,3.0,3.0,"Sukhshanti Apartment Sector 56, Gurgaon",2.0,south,moderatly old property,,0,0,0,1,0,1,142
1769,  dlf the skycourt,2.4,sector 86,12441.68,flat,1929.0,1929.0,1253.8500000000001,1543.2,3.0,3.0,"DLF The Skycourt Sector 86, Gurgaon",11.0,south-west,relatively new property,,0,0,0,1,0,2,87
1770,"  block h, dlf city phase 1, gurgaon",11.7,sector 26,375000.0,house,312.0,405.6,265.2,312.0,4.0,4.0,"  block h, dlf city phase 1, gurgaon",2.0,west,moderatly old property,3+,1,1,1,0,1,2,89
1771,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",5.29,sector 23,36059.99,house,1467.0,1907.1000000000001,1246.95,1467.0,4.0,5.0,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",2.0,north-east,relatively new property,3+,0,0,0,0,1,1,156
1772,  international city by sobha phase 2,7.9,sector 109,22616.66,flat,3493.0,3493.0,2445.1,2969.0499999999997,4.0,5.0,"International City by SOBHA Phase 2 Sector 109, Gurgaon",0.0,east,relatively new property,,0,1,0,0,0,2,155
1773,  m3m heights,3.62,sector 65,18063.87,flat,2004.0,2004.0,1302.6000000000001,1603.2,3.0,3.0,"M3M Heights Sector 65, Gurgaon",11.0,north,relatively new property,,0,1,0,0,0,1,221
1774,"  dlf phase 4, gurgaon",9.0,sector 28,333333.33,house,270.0,351.0,229.5,270.0,4.0,4.0,"  dlf phase 4, gurgaon",1.0,east,relatively new property,3+,1,1,0,0,1,1,81
1775,"  unitech espace, nirvana country, gurgaon",15.5,sector 50,430555.56,house,360.0,468.0,306.0,360.0,5.0,6.0,"  unitech espace, nirvana country, gurgaon",2.0,north-east,moderatly old property,3+,0,1,0,0,0,1,105
