,society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
1206,"  kothi , block-a, dlf city phase 1, gurgaon",7.25,sector 26,,house,,,,,4.0,4.0,"  kothi , block-a, dlf city phase 1, gurgaon",2.0,north-east,old property,3,0,0,0,0,0,2,25
1207,  m3m woodshire,1.25,sector 107,9150.81,flat,1366.0,1366.0,819.6,1024.5,2.0,2.0,"M3M Woodshire Sector 107, Gurgaon",8.0,south,relatively new property,,0,0,0,0,0,1,91
1208,"  dlf phase 2, gurgaon",22.5,sector 25,450000.0,house,500.0,650.0,425.0,500.0,7.0,7.0,"  dlf phase 2, gurgaon",2.0,north,relatively new property,3+,1,1,1,0,1,1,70
1209,  shapoorji pallonji joyville gurugram,2.9,sector 102,12083.33,flat,2400.0,2400.0,1680.0,2040.0,4.0,4.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",15.0,north,new property,,1,0,0,0,0,2,75
1210,  sare homes,1.45,sector 92,,flat,,,,,3.0,4.0,"Sare Homes Sector 92, Gurgaon",15.0,east,moderatly old property,,0,1,0,0,0,1,63
1211,"  unitech aspen greens, nirvana country, gurgaon",15.0,sector 50,416666.67,house,360.0,468.0,306.0,360.0,4.0,4.0,"  unitech aspen greens, nirvana country, gurgaon",2.0,north-east,old property,3,1,1,1,0,0,1,207
1212,  sobha city,4.3,sector 108,20752.9,flat,2072.0,2072.0,1346.8,1657.6000000000001,3.0,4.0,"Sobha City Sector 108, Gurgaon",15.0,east,relatively new property,,0,0,0,0,0,2,221
1213,  pyramid urban homes,0.72,sector 70,,flat,,,,,2.0,2.0,"Pyramid Urban Homes Sector 70A, Gurgaon",3.0,north,relatively new property,,0,0,0,1,0,2,124
1214,"  south city 1, gurgaon",10.28,sector 41,,house,,,,,5.0,6.0,"  south city 1, gurgaon",3.0,north-east,relatively new property,3,1,1,0,0,1,1,190
1215,  ats tourmale,1.97,sector 109,11257.14,flat,1750.0,1750.0,1137.5,1400.0,3.0,3.0,"ATS Tourmaline Sector 109, Gurgaon",8.0,east,relatively new property,,0,0,0,0,0,2,221
1216,  samanvay apartment,2.5,sector 56,11385.16,flat,2195.84,2195.84,1427.296,1756.6720000000003,3.0,3.0,"Samanvay Apartment Sector 56, Gurgaon",7.0,south,moderatly old property,,0,1,0,0,0,1,6
1217,  mapsko mount ville,2.0,sector 79,13422.82,flat,1490.0,1490.0,968.5,1192.0,3.0,3.0,"Mapsko Mount Ville Sector 79, Gurgaon",16.0,east,relatively new property,,0,0,0,0,0,1,159
1218,  puri diplomatic greens,4.75,sector 111,16101.69,flat,2950.0,2950.0,2065.0,2507.5,4.0,5.0,"Puri Diplomatic Greens Sector 111, Gurgaon",0.0,west,moderatly old property,,0,1,0,0,0,2,39
1219,"  ansals palam vihar, palam vihar, gurgaon",4.25,sector 1,245664.74,house,173.0,224.9,147.04999999999998,173.0,5.0,5.0,"  ansals palam vihar, palam vihar, gurgaon",2.0,north,relatively new property,3,0,0,0,0,0,2,40
1220,  ramprastha the edge towers,1.57,sector 37,8870.06,flat,1770.0,1770.0,1150.5,1416.0,3.0,3.0,"Ramprastha The Edge Towers Sector 37D, Gurgaon",6.0,west,relatively new property,,0,0,0,0,1,2,212
1221,  the close south,3.8,sector 50,15013.83,flat,2531.0,2531.0,1645.15,2024.8000000000002,3.0,3.0,"The Close South Pocket H Nirvana Country, Gurgaon",2.0,north,moderatly old property,,0,1,0,0,0,1,221
1222,  paras dews,1.28,sector 106,9241.88,flat,1385.0,1385.0,831.0,1038.75,2.0,2.0,"Paras Dews Sector 106, Gurgaon",5.0,north,relatively new property,,0,0,0,0,0,2,151
1223,  antriksh heights,1.65,sector 84,7875.89,flat,2095.0,2095.0,1466.5,1780.75,4.0,4.0,"Antriksh Heights Sector 84, Gurgaon",14.0,east,relatively new property,,0,0,1,0,0,2,95
1224,  antriksh heights,1.15,sector 84,7931.03,flat,1450.0,1450.0,870.0,1087.5,2.0,2.0,"Antriksh Heights Sector 84, Gurgaon",10.0,east,relatively new property,,0,0,1,0,0,2,115
1225,  emaar gurgaon greens,1.85,sector 102,11212.12,flat,1650.0,1650.0,1072.5,1320.0,3.0,3.0,"Emaar Gurgaon Greens Sector 102, Gurgaon",4.0,north,relatively new property,,0,1,0,0,0,2,145
1226,  bestech altura,2.7,sector 79,13399.5,flat,2015.0,2015.0,1309.75,1612.0,3.0,3.0,"Bestech Altura Sector 79, Gurgaon",6.0,east,new property,,0,0,0,0,0,2,70
1227,  dlf the ultima,3.65,sector 81,17380.95,flat,2100.0,2100.0,1365.0,1680.0,3.0,4.0,"DLF The Ultima Sector 81, Gurgaon",18.0,east,relatively new property,,0,1,0,0,0,0,110
1228,"  sector 45, gurgaon",2.3,sector 45,42592.59,house,540.0,675.0,432.0,540.0,3.0,3.0,"  sector 45, gurgaon",3.0,south,moderatly old property,2,1,0,0,0,0,1,137
1229,"  anant raj manor villas, sector 63, gurgaon",9.5,sector 63,316666.67,house,300.0,390.0,255.0,300.0,5.0,5.0,"  anant raj manor villas, sector 63, gurgaon",3.0,north-east,relatively new property,2,1,1,1,0,1,1,201
1230,  dlf the primus,2.9,sector 82,16120.07,flat,1799.0,1799.0,1169.3500000000001,1439.2,3.0,3.0,"DLF The Primus Sector 82A, Gurgaon",15.0,north-west,relatively new property,,0,0,0,0,0,0,94
1231,"  sector 78, gurgaon",5.12,sector 78,,house,,,,,4.0,3.0,"  sector 78, gurgaon",4.0,na,new property,2,0,1,0,0,0,2,52
1232,"  rosewood city, gurgaon",4.5,sector 49,281250.0,house,160.0,208.0,136.0,160.0,4.0,4.0,"  rosewood city, gurgaon",2.0,north-east,old property,2,1,0,1,0,0,1,102
1233,  indiabulls centrum park,1.75,sector 103,9210.53,flat,1900.0,1900.0,1235.0,1520.0,3.0,3.0,"Indiabulls Centrum Park Sector 103, Gurgaon",6.0,north-west,relatively new property,,0,1,0,0,0,1,101
1234,  tulip purple,2.75,sector 69,11458.33,flat,2400.0,2400.0,1680.0,2040.0,4.0,5.0,"Tulip Purple Sector 69, Gurgaon",10.0,north,relatively new property,,0,1,0,0,0,2,107
1235,"  rosewood city, gurgaon",32.0,sector 49,328205.13,house,975.0,1267.5,828.75,975.0,4.0,4.0,"  rosewood city, gurgaon",3.0,na,moderatly old property,3+,1,1,1,0,1,1,56
1236,  pioneer park,2.85,sector 61,17065.87,flat,1670.0,1670.0,1002.0,1252.5,2.0,3.0,"Pioneer Park Sector 61, Gurgaon",8.0,north,moderatly old property,,0,0,1,0,0,1,128
1237,"  malibu town, gurgaon",12.25,sector 47,,house,,,,,5.0,6.0,"  malibu town, gurgaon",3.0,north-west,relatively new property,3,1,1,1,0,1,1,199
1238,  ireo skyon,2.86,sector 60,18066.96,flat,1583.0,1583.0,949.8,1187.25,2.0,2.0,"Ireo Skyon Sector 60, Gurgaon",10.0,north-west,relatively new property,,0,0,0,1,0,1,94
1239,  ats marigold,2.42,sector 89,11255.81,flat,2150.0,2150.0,1397.5,1720.0,3.0,4.0,"ATS Marigold Sector 89 A, Gurgaon",15.0,west,new property,,0,1,0,0,0,2,124
1240,  m3m merl,4.65,sector 67,19159.46,flat,2427.0,2427.0,1577.55,1941.6000000000001,3.0,4.0,"M3M Merlin Sector 67, Gurgaon",14.0,north,relatively new property,,0,1,0,0,0,1,174
1241,"  emaar mgf marbella, sector 66, gurgaon",18.5,sector 66,21764.71,house,8500.0,11050.0,7225.0,8500.0,5.0,7.0,"  emaar mgf marbella, sector 66, gurgaon",4.0,north-east,moderatly old property,3+,1,1,1,0,1,1,148
1242,  international city by sobha phase 2,8.25,sector 109,18341.49,flat,4498.0,4498.0,3148.6,3823.2999999999997,4.0,5.0,"International City by SOBHA Phase 2 Sector 109, Gurgaon",1.0,east,relatively new property,,0,1,0,0,0,2,155
1243,  bestech park view grand spa,3.6,sector 81,13533.83,flat,2660.0,2660.0,1729.0,2128.0,3.0,4.0,"Bestech Park View Grand Spa Sector 81, Gurgaon",12.0,east,new property,,0,1,0,0,0,1,214
1244,"  sector 43, gurgaon",12.0,sector 43,456273.76,house,263.0,341.90000000000003,223.54999999999998,263.0,12.0,10.0,"  sector 43, gurgaon",3.0,north,moderatly old property,3+,1,1,1,0,1,1,126
1245,"  unitech aspen greens, nirvana country, gurgaon",9.5,sector 50,395833.33,house,240.0,300.0,192.0,240.0,3.0,3.0,"  unitech aspen greens, nirvana country, gurgaon",2.0,north-east,old property,3,0,1,0,0,0,2,140
1246,"  sector 38 rwa, sector 38, gurgaon",5.7,sector 38,347560.98,house,164.0,196.79999999999998,123.0,164.0,2.0,2.0,"  sector 38 rwa, sector 38, gurgaon",4.0,na,moderatly old property,3,0,1,0,0,0,1,31
1247,"  sector 15, sector 15 part 2, gurgaon",12.0,sector 15,300000.0,house,400.0,520.0,340.0,400.0,4.0,4.0,"  sector 15, sector 15 part 2, gurgaon",3.0,north,relatively new property,1,1,0,0,0,0,2,63
1248,  bptp freedom park life,3.7,sector 57,14302.28,flat,2587.0,2587.0,1681.55,2069.6,3.0,4.0,"BPTP Freedom Park Life Sector 57, Gurgaon",4.0,east,moderatly old property,,0,1,1,0,0,1,221
1249,  sidhartha ncr one phase 2,1.3,sector 95,7897.93,flat,1646.0,1646.0,1069.9,1316.8000000000002,3.0,3.0,"Sidhartha NCR One Phase 2 Sector 95, Gurgaon",14.0,east,new property,,0,0,0,0,0,2,87
1250,"  ansal, sushant lok phase 2, gurgaon",7.35,sector 56,375000.0,house,196.0,254.8,166.6,196.0,9.0,9.0,"  ansal, sushant lok phase 2, gurgaon",3.0,south,moderatly old property,3+,1,0,0,0,0,1,35
1251,"  international city by sobha phase 1, sector 109, gurgaon",19.0,sector 109,380000.0,house,500.0,650.0,425.0,500.0,5.0,5.0,"  international city by sobha phase 1, sector 109, gurgaon",3.0,north,relatively new property,3+,0,1,1,0,1,2,73
1252,"  sector 27, gurgaon",8.5,sector 27,323193.92,house,263.0,341.90000000000003,223.54999999999998,263.0,4.0,4.0,"  sector 27, gurgaon",4.0,north-east,old property,2,1,0,0,0,0,2,28
1253,  krisumi waterfall residences,4.5,sector 36,17730.5,flat,2538.0,2538.0,1649.7,2030.4,3.0,3.0,"Krisumi Waterfall Residences Sector 36A, Gurgaon",15.0,north,new property,,0,1,0,0,0,2,84
