,society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore,areaToBedRatio
2663,"  cyber city, v block dlf phase 3, gurgaon",5.34,sector 23,35647.53,house,1498.0,1947.4,1273.3,1498.0,5.0,6.0,"  cyber city, v block dlf phase 3, gurgaon",2.0,east,relatively new property,3+,1,0,0,0,0,1,149,299.6
2689,"  vishnu garden, gurgaon",0.65,sector 105,14444.44,house,450.0,540.0,337.5,450.0,2.0,2.0,"  vishnu garden, gurgaon",2.0,north,relatively new property,2,0,0,0,0,0,2,22,225.0
2750,"  ardee city, sector 52, gurgaon",7.35,sector 52,27222.22,house,2700.0,3510.0,2295.0,2700.0,9.0,9.0,"  ardee city, sector 52, gurgaon",3.0,east,old property,3+,0,1,0,0,0,1,84,300.0
2785,"  eros rosewood city, rosewood city, gurgaon",5.0,sector 49,32299.74,house,1548.0,2012.4,1315.8,1548.0,4.0,4.0,"  eros rosewood city, rosewood city, gurgaon",3.0,north,moderatly old property,2,0,1,0,0,0,1,104,387.0
2806,"  vishnu garden, gurgaon",1.3,sector 105,14444.44,house,900.0,1170.0,765.0,900.0,4.0,3.0,"  vishnu garden, gurgaon",2.0,east,new property,3,0,0,0,0,0,2,15,225.0
2838,  emaar mgf palm hills,2.0,sector 77,13793.1,flat,1450.0,1450.0,942.5,1160.0,3.0,4.0,"Emaar MGF Palm Hills Sector 77, Gurgaon",1.0,east,relatively new property,,0,1,0,0,0,2,138,483.3333333333333
2850,"  south city 1, gurgaon",2.3,sector 41,42592.59,house,540.0,675.0,432.0,540.0,3.0,3.0,"  south city 1, gurgaon",3.0,south-west,moderatly old property,2,1,0,0,0,0,1,119,180.0
2878,"  cyber city, v block dlf phase 3, gurgaon",9.5,sector 23,33403.66,house,2844.0,3697.2000000000003,2417.4,2844.0,6.0,7.0,"  cyber city, v block dlf phase 3, gurgaon",3.0,north-east,moderatly old property,3+,0,1,0,0,0,1,174,474.0
2896,"  signature global city 37d ph 2, sector 37d, gurgaon",1.8,sector 37,12500.0,house,1440.0,1800.0,1152.0,1440.0,3.0,3.0,"  signature global city 37d ph 2, sector 37d, gurgaon",,na,new property,2,1,0,0,0,0,2,28,480.0
2951,"  sushant lok phase 3, gurgaon",14.75,sector 57,32647.19,house,4518.0,5873.400000000001,3840.2999999999997,4518.0,12.0,12.0,"  sushant lok phase 3, gurgaon",3.0,north-east,new property,3+,1,1,1,0,1,1,103,376.5
2998,  sare homes,1.22,sector 92,8555.4,flat,1426.0,1426.0,926.9,1140.8,3.0,2.0,"Sare Homes Sector 92, Gurgaon",6.0,east,moderatly old property,,0,0,0,0,0,1,63,475.3333333333333
3034,"  sector 2 palam vihar, gurgaon",1.9,sector 2 sector 1,32203.39,house,590.0,737.5,472.0,590.0,3.0,3.0,"  sector 2 palam vihar, gurgaon",3.0,south-west,relatively new property,3,0,0,0,1,0,1,32,196.66666666666666
3067,"  sector 5, gurgaon",6.8,sector 5,28716.22,house,2368.0,3078.4,2012.8,2368.0,12.0,10.0,"  sector 5, gurgaon",3.0,north,old property,3+,1,1,1,0,1,2,41,197.33333333333334
3082,"  laxman vihar phase 2, gurgaon",0.85,sector 46,9444.44,house,900.0,1125.0,720.0,900.0,3.0,2.0,"  laxman vihar phase 2, gurgaon",2.0,north,old property,1,1,0,1,0,1,2,36,300.0
3099,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",3.7,sector 43,13167.26,house,2810.0,3653.0,2388.5,2810.0,10.0,10.0,"  ansal sushant lok plots, sushant lok phase 1, gurgaon",5.0,north-east,new property,3+,0,0,0,0,1,0,174,281.0
3113,"  block b rajendra park, gurgaon",0.72,sector 105,13333.33,house,540.0,702.0,459.0,540.0,4.0,2.0,"  block b rajendra park, gurgaon",2.0,east,moderatly old property,2,1,0,1,0,1,1,84,135.0
3117,"  cyber city, v block dlf phase 3, gurgaon",5.36,sector 23,31904.76,house,1680.0,2184.0,1428.0,1680.0,6.0,6.0,"  cyber city, v block dlf phase 3, gurgaon",3.0,north-east,relatively new property,3+,0,1,0,0,0,1,142,280.0
3132,"  rajendra park, gurgaon",1.2,sector 105,10000.0,house,1200.0,1560.0,1020.0,1200.0,9.0,7.0,"  rajendra park, gurgaon",4.0,east,relatively new property,3+,0,0,0,1,0,1,15,133.33333333333334
3133,  orris carnation residency,1.7,sector 85,8607.59,flat,1975.0,1975.0,1382.5,1678.75,4.0,4.0,"Orris Carnation Residency Sector 85, Gurgaon",6.0,north-east,moderatly old property,,0,0,0,1,0,2,63,493.75
3156,  shapoorji pallonji joyville gurugram,1.45,sector 102,15846.99,flat,915.0,915.0,549.0,686.25,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",5.0,north-east,relatively new property,,0,0,0,0,0,2,39,457.5
3188,  emaar mgf palm hills,1.8,sector 77,12413.79,flat,1450.0,1450.0,942.5,1160.0,3.0,4.0,"Emaar MGF Palm Hills Sector 77, Gurgaon",5.0,east,relatively new property,,0,1,0,0,0,1,221,483.3333333333333
3210,"  krishna colony, gurgaon",0.95,sector 7,11994.95,house,792.0,1029.6000000000001,673.1999999999999,792.0,4.0,3.0,"  krishna colony, gurgaon",2.0,south,old property,2,1,0,1,0,1,2,15,198.0
3243,  tulip white,1.58,sector 69,11915.54,flat,1326.0,1326.0,861.9,1060.8,3.0,2.0,"Tulip White Sector 69, Gurgaon",5.0,north-east,moderatly old property,,1,0,0,0,0,0,221,442.0
3264,"  signature global city, sector 37d, gurgaon",1.5,sector 37,10416.67,house,1440.0,1800.0,1152.0,1440.0,3.0,3.0,"  signature global city, sector 37d, gurgaon",4.0,north-west,new property,2,1,0,1,0,0,2,154,480.0
3271,"  assotech blith, sector 99, gurgaon",7.15,sector 99,27680.99,house,2583.0,3357.9,2195.5499999999997,2583.0,7.0,6.0,"  assotech blith, sector 99, gurgaon",4.0,east,relatively new property,3+,0,1,0,1,0,2,171,369.0
3299,"  vatika emilia floors, sector 83, gurgaon",0.95,sector 83,10270.27,house,925.0,1110.0,693.75,925.0,2.0,2.0,"  vatika emilia floors, sector 83, gurgaon",2.0,north-east,moderatly old property,2,0,0,0,1,0,1,63,462.5
3321,  emaar mgf emerald floors premier,3.65,sector 65,18481.01,flat,1975.0,1975.0,1382.5,1678.75,4.0,4.0,"Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",5.0,north,new property,,0,0,1,1,0,2,66,493.75
3337,  dlf wellgton estate,3.3,sector 54,23076.92,flat,1430.0,1430.0,929.5,1144.0,3.0,3.0,"DLF Wellington Estate DLF Phase 5, Gurgaon",14.0,south,relatively new property,,0,0,0,1,0,1,214,476.6666666666667
3350,"  dlf floors phase 3, t block, dlf phase 3, gurgaon",8.15,sector 23,28426.93,house,2867.0,3727.1,2436.95,2867.0,6.0,6.0,"  dlf floors phase 3, t block, dlf phase 3, gurgaon",3.0,north-east,moderatly old property,3,0,1,0,0,0,1,160,477.8333333333333
3405,  dlf carlton estate,3.25,sector 54,23049.65,flat,1410.0,1410.0,916.5,1128.0,3.0,3.0,"DLF Carlton Estate DLF Phase 5, Gurgaon",7.0,south-west,moderatly old property,,0,0,0,1,0,1,191,470.0
3415,"  sector 104, gurgaon",0.59,sector 104,11800.0,house,500.0,625.0,400.0,500.0,3.0,2.0,"  sector 104, gurgaon",2.0,south,relatively new property,1,0,0,0,1,0,2,15,166.66666666666666
3421,  emaar mgf emerald estate,2.4,sector 65,17777.78,flat,1350.0,1350.0,877.5,1080.0,3.0,3.0,"Emaar MGF Emerald Estate Sector 65, Gurgaon",5.0,north-east,relatively new property,,0,1,0,0,0,1,221,450.0
3436,  emaar mgf palm hills,1.93,sector 77,13310.34,flat,1450.0,1450.0,942.5,1160.0,3.0,4.0,"Emaar MGF Palm Hills Sector 77, Gurgaon",2.0,south-east,relatively new property,,0,1,1,0,0,2,94,483.3333333333333
3493,  emaar mgf emerald estate,2.42,sector 65,17925.93,flat,1350.0,1350.0,877.5,1080.0,3.0,3.0,"Emaar MGF Emerald Estate Sector 65, Gurgaon",5.0,north-east,relatively new property,,0,0,1,0,0,1,221,450.0
3502,"  ansals palam vihar, palam vihar, gurgaon",1.9,sector 1,31986.53,house,594.0,742.5,475.20000000000005,594.0,3.0,3.0,"  ansals palam vihar, palam vihar, gurgaon",3.0,na,moderatly old property,2,0,0,0,0,0,2,37,198.0
3530,  sare homes,1.2,sector 92,9049.77,flat,1326.0,1326.0,861.9,1060.8,3.0,2.0,"Sare Homes Sector 92, Gurgaon",14.0,east,relatively new property,,0,0,0,0,0,2,51,442.0
3559,  emaar mgf emerald estate,2.5,sector 65,18518.52,flat,1350.0,1350.0,877.5,1080.0,3.0,3.0,"Emaar MGF Emerald Estate Sector 65, Gurgaon",7.0,east,relatively new property,,0,1,0,0,0,2,130,450.0
3566,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",8.44,sector 23,29676.51,house,2844.0,3697.2000000000003,2417.4,2844.0,6.0,6.0,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",3.0,north-east,moderatly old property,3+,0,1,0,0,0,1,190,474.0
3587,"  independent floor at dlf city, t block, dlf phase 3, gurgaon",8.15,sector 23,28407.11,house,2869.0,3729.7000000000003,2438.65,2869.0,6.0,6.0,"  independent floor at dlf city, t block, dlf phase 3, gurgaon",3.0,east,moderatly old property,3+,0,1,0,0,0,1,97,478.1666666666667
3592,  emaar mgf emerald floors premier,3.69,sector 65,18683.54,flat,1975.0,1975.0,1382.5,1678.75,4.0,4.0,"Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",4.0,west,moderatly old property,,0,1,1,0,0,2,59,493.75
3597,"  block d sector 56, gurgaon",18.0,block d sector 56,40000.0,house,4500.0,5850.0,3825.0,4500.0,16.0,16.0,"  block d sector 56, gurgaon",4.0,north-east,relatively new property,3+,1,0,1,0,0,1,207,281.25
3601,"  independent floor at dlf city, v block dlf phase 3, gurgaon",5.3,sector 23,36128.15,house,1467.0,1907.1000000000001,1246.95,1467.0,4.0,5.0,"  independent floor at dlf city, v block dlf phase 3, gurgaon",2.0,north-east,relatively new property,3+,0,0,0,0,1,1,166,366.75
