,name,price,link
93,"2 Bedroom House in Sheetla Colony Phase 2, Gurgaon",₹70 Lac,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sheetla-colony-phase-2-gurgaon-540-sq-ft-spid-B80562899
94,"4 Bedroom House in Sector 65, Gurgaon",₹2.85 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-emaar-emerald-hills-sector-65-gurgaon-3150-sq-ft-spid-W80552665
95,"6 Bedroom House in Palam Vihar, Gurgaon",₹7.5 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-270-sq-ft-spid-I80553793
96,"6 Bedroom House in South City 2, Gurgaon",₹3.1 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-south-city-2-gurgaon-540-sq-ft-spid-P80548037
97,"8 Bedroom House in Sector 39, Gurgaon",₹5.6 Cr,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-sector-39-gurgaon-1557-sq-ft-spid-F80520329
98,"5 Bedroom House in DLF Phase 3, Gurgaon",₹7.1 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-2124-sq-ft-r1-spid-H79131093
99,"10 Bedroom House in Mohyal Colony, Gurgaon",₹5.65 Cr,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-mohyal-colony-gurgaon-990-sq-ft-spid-C80500289
100,"6 Bedroom House in Medicity, Gurgaon",₹2.4 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-38-rwa-medicity-gurgaon-540-sq-ft-spid-W80484351
101,"4 Bedroom House in Sector 82, Gurgaon",₹5.5 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-mapsko-casa-bella-sector-82-gurgaon-2700-sq-ft-r6-spid-Y38583151
102,"4 Bedroom House in Sector 21 Pocket A, Gurgaon",₹12 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-21-pocket-a-gurgaon-4500-sq-ft-spid-G80335767
103,"11 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",₹3.4 Cr,https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-540-sq-ft-spid-J80394059
104,"5 Bedroom House in Sector 110 A, Gurgaon",₹3.99 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-110-a-gurgaon-3924-sq-ft-spid-F80382477
105,"5 Bedroom House in Sector 81, Gurgaon",₹8.5 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-bestech-park-view-ananda-sector-81-gurgaon-5480-sq-ft-spid-G80375141
106,"5 Bedroom House in Block E DLF City Phase 1, Gurgaon",₹5.25 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-block-e-dlf-city-phase-1-gurgaon-981-sq-ft-spid-K80361805
107,"6 Bedroom House in Madanpuri, Gurgaon",₹2.65 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-madanpuri-gurgaon-163-sq-ft-spid-Y80352745
108,"4 Bedroom House in Sector 48, Gurgaon",₹11 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-spid-B80317045
110,"5 Bedroom House in Sector 86, Gurgaon",₹4 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-3300-sq-ft-spid-R80175429
111,"6 Bedroom House in DLF Phase 2, Gurgaon",₹8.4 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-1980-sq-ft-spid-S80275553
112,"7 Bedroom House in DLF Phase 2, Gurgaon",₹14.85 Cr,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-3680-sq-ft-spid-R80275809
113,"6 Bedroom House in Sector 69, Gurgaon",₹6 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-69-gurgaon-2250-sq-ft-r2-spid-E75517333
114,"2 Bedroom House in Indira Colony 1, Gurgaon",₹3 Cr,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-indira-colony-1-gurgaon-900-sq-ft-spid-P80293819
115,"5 Bedroom House in DLF Phase 1, Gurgaon",₹9.5 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-1950-sq-ft-spid-F80247655
116,"5 Bedroom House in DLF Phase 1, Gurgaon",₹13 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-2700-sq-ft-spid-X80248141
117,"6 Bedroom House in DLF Phase 1, Gurgaon",₹15 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-3680-sq-ft-spid-Z80275311
