,sector,propertyType,builtup,bedRooms,bathRooms,agePossesion,balcony,pooja room,servant room,study room,others,store room,luxCat,heightCat,Y
36,25,1.0,6700.0,6.0,6.0,0.0,4.0,1,1,1,0,1,2.0,1.0,18.5
37,93,0.0,471.0,2.0,2.0,1.0,4.0,0,0,0,0,0,1.0,2.0,0.66
38,54,0.0,1852.0,3.0,3.0,2.0,4.0,0,1,0,0,0,0.0,0.0,8.0
39,1,1.0,4500.0,10.0,7.0,3.0,3.0,1,0,0,0,1,0.0,2.0,4.0
40,27,1.0,4350.0,5.0,6.0,0.0,4.0,1,1,0,0,0,0.0,1.0,9.25
41,1,1.0,4518.0,7.0,7.0,3.0,3.0,1,1,0,0,0,0.0,1.0,8.05
42,3,0.0,1662.4,3.0,3.0,3.0,4.0,0,0,0,0,0,0.0,2.0,1.95
43,57,1.0,4500.0,4.0,6.0,2.0,4.0,1,1,1,0,0,0.0,1.0,8.25
44,1,1.0,4680.0,6.0,6.0,0.0,4.0,1,1,1,0,1,0.0,1.0,10.5
45,54,1.0,4500.0,5.0,6.0,3.0,3.0,1,1,1,0,1,1.0,1.0,12.0
46,52,1.0,4500.0,8.0,8.0,3.0,4.0,1,1,1,0,1,2.0,2.0,4.5
47,28,1.0,4500.0,6.0,7.0,3.0,3.0,1,1,1,0,1,1.0,2.0,9.5
48,86,0.0,1543.2,3.0,3.0,3.0,2.0,0,0,0,0,0,1.0,0.0,2.25
49,92,0.0,1596.0,3.0,4.0,3.0,2.0,0,1,0,0,0,1.0,1.0,2.25
50,107,0.0,1888.8,3.0,4.0,3.0,2.0,0,1,0,0,0,1.0,2.0,2.15
51,72,1.0,2610.0,4.0,4.0,1.0,2.0,0,1,0,0,1,2.0,1.0,6.5
52,72,1.0,7000.0,4.0,5.0,3.0,4.0,1,1,1,0,0,0.0,1.0,11.0
53,111,1.0,4518.0,6.0,8.0,3.0,4.0,1,1,1,0,1,1.0,1.0,8.5
54,72,1.0,8500.0,5.0,6.0,3.0,4.0,1,1,1,0,0,0.0,2.0,16.7
55,78,1.0,4500.0,4.0,3.0,1.0,2.0,0,1,0,0,0,0.0,2.0,4.25
56,28,0.0,1554.4,3.0,3.0,2.0,2.0,0,0,0,0,1,1.0,2.0,2.25
57,70,0.0,1560.0,3.0,4.0,3.0,3.0,1,0,0,0,0,1.0,2.0,2.35
58,43,1.0,4518.0,8.0,8.0,0.0,4.0,1,1,0,0,0,1.0,1.0,14.0
59,82,1.0,2911.25,3.0,2.0,0.0,2.0,0,0,0,0,0,2.0,1.0,5.7
60,83,0.0,1388.0,3.0,3.0,0.0,2.0,0,0,0,0,0,2.0,2.0,1.9
61,49,1.0,4259.0,5.0,4.0,2.0,3.0,0,1,0,0,0,1.0,1.0,4.5
62,31,1.0,4518.0,7.0,7.0,0.0,4.0,0,0,1,1,0,0.0,1.0,9.05
63,85,0.0,1230.0,2.0,2.0,3.0,2.0,0,0,0,1,0,2.0,2.0,1.75
64,1,1.0,4509.0,6.0,5.0,0.0,3.0,1,1,0,0,1,2.0,1.0,6.85
65,62,0.0,1131.0,2.0,2.0,3.0,4.0,0,0,0,0,0,1.0,1.0,3.57
66,82,1.0,4200.0,4.0,6.0,1.0,4.0,1,1,1,0,1,2.0,1.0,6.0
67,25,1.0,4509.0,4.0,4.0,2.0,4.0,1,1,1,1,0,0.0,1.0,19.9
68,57,0.0,2069.6,3.0,4.0,0.0,4.0,0,1,1,0,0,2.0,2.0,3.5
69,110,0.0,6315.5,5.0,6.0,0.0,3.0,1,1,1,0,1,1.0,0.0,8.2
70,108,0.0,1874.4,3.0,5.0,3.0,2.0,0,1,0,0,0,1.0,2.0,4.9
71,48,0.0,1332.0,3.0,3.0,2.0,4.0,0,1,0,0,0,1.0,1.0,2.8
72,61,0.0,1023.75,2.0,2.0,0.0,2.0,0,0,0,0,0,1.0,2.0,2.3
73,43,1.0,4860.0,11.0,11.0,1.0,4.0,0,0,0,0,0,0.0,2.0,3.5
74,72,1.0,7000.0,4.0,4.0,0.0,4.0,1,1,1,0,0,0.0,1.0,10.5
75,27,1.0,4350.0,6.0,6.0,0.0,4.0,1,1,0,0,0,1.0,1.0,11.25
76,57,1.0,4460.75,12.0,12.0,3.0,4.0,0,1,0,0,0,0.0,2.0,9.95
77,72,0.0,2805.0,4.0,5.0,1.0,4.0,0,1,0,0,1,1.0,2.0,6.35
78,43,1.0,4500.0,3.0,3.0,3.0,2.0,0,1,0,0,0,2.0,2.0,10.5
79,48,1.0,4500.0,4.0,4.0,0.0,2.0,0,1,0,0,0,2.0,1.0,11.0
80,65,0.0,765.0,2.0,2.0,0.0,2.0,0,0,1,0,0,1.0,2.0,1.9
81,45,1.0,4509.0,5.0,6.0,3.0,3.0,1,1,0,0,1,1.0,1.0,10.85
82,99,0.0,1597.6,3.0,5.0,3.0,4.0,0,1,0,0,0,2.0,2.0,1.95
83,105,1.0,1622.5,3.0,3.0,3.0,2.0,0,0,0,0,0,0.0,1.0,0.95
84,83,0.0,1560.0,3.0,3.0,3.0,4.0,0,1,0,0,0,1.0,2.0,2.55
85,3,0.0,2380.0,4.0,4.0,1.0,3.0,0,1,0,0,0,2.0,2.0,2.35
86,57,1.0,4509.0,8.0,8.0,0.0,4.0,0,0,0,0,0,1.0,2.0,3.9
87,61,0.0,1360.0,3.0,3.0,0.0,2.0,0,0,0,0,0,2.0,2.0,2.85
88,1,1.0,2461.25,3.0,2.0,0.0,2.0,0,0,0,0,0,0.0,1.0,3.75
89,104,0.0,1832.0,3.0,4.0,3.0,4.0,0,1,0,0,0,2.0,0.0,2.55
90,9,1.0,4500.0,4.0,4.0,3.0,4.0,0,0,0,0,1,1.0,2.0,2.65
91,49,1.0,4200.0,3.0,3.0,0.0,3.0,1,1,0,0,0,0.0,1.0,4.5
92,107,0.0,1554.4,3.0,3.0,3.0,2.0,0,0,0,0,0,2.0,2.0,1.85
93,53,0.0,2881.5,4.0,5.0,0.0,4.0,1,1,0,0,0,1.0,2.0,9.0
94,104,0.0,1975.4,4.0,5.0,3.0,4.0,0,1,0,0,0,1.0,2.0,2.05
95,59,0.0,2076.0,3.0,4.0,3.0,3.0,1,1,1,1,0,0.0,2.0,6.25
96,109,0.0,1400.0,3.0,3.0,3.0,2.0,0,0,0,0,0,2.0,0.0,2.05
97,46,1.0,8100.0,6.0,6.0,0.0,2.0,1,0,0,0,0,2.0,1.0,3.6
98,102,0.0,1026.0,2.0,2.0,1.0,4.0,0,0,0,0,0,1.0,0.0,1.91
99,80,1.0,1955.0,3.0,2.0,4.0,4.0,0,0,0,0,0,0.0,0.0,2.69
100,103,0.0,1432.0,3.0,3.0,3.0,2.0,0,0,1,0,0,1.0,2.0,1.8
101,95,0.0,1256.8125,2.0,2.0,3.0,4.0,0,0,0,0,0,2.0,2.0,0.61
102,70,0.0,3272.5,5.0,6.0,3.0,4.0,0,1,0,0,0,1.0,0.0,4.81
103,55,0.0,1700.0,3.0,3.0,2.0,3.0,0,1,0,0,0,2.0,2.0,2.9
104,83,0.0,1428.0,3.0,3.0,0.0,4.0,0,0,0,0,1,2.0,1.0,1.86
105,109,0.0,4250.0,5.0,7.0,0.0,2.0,1,1,1,0,0,2.0,0.0,4.7
106,70,0.0,1720.0,3.0,4.0,0.0,4.0,0,1,0,0,0,1.0,2.0,2.62
107,59,0.0,1554.4,3.0,3.0,3.0,4.0,0,1,0,0,0,2.0,1.0,7.0
108,104,0.0,2677.5,4.0,4.0,3.0,2.0,1,1,1,1,0,2.0,0.0,3.6
109,46,1.0,4500.0,16.0,20.0,3.0,4.0,1,1,1,1,0,0.0,2.0,14.5
110,67,0.0,1928.8,3.0,3.0,3.0,3.0,1,1,0,0,0,1.0,0.0,4.45
111,85,0.0,1554.4,3.0,3.0,1.0,0.0,0,0,0,0,0,1.0,0.0,2.6
112,43,1.0,4518.0,8.0,8.0,3.0,3.0,1,1,1,0,1,1.0,1.0,14.0
113,25,1.0,4500.0,3.0,3.0,0.0,2.0,0,1,0,0,0,0.0,1.0,8.25
114,83,0.0,1584.8000000000002,3.0,3.0,0.0,4.0,0,1,0,0,0,2.0,2.0,2.17
115,90,0.0,2009.4,4.0,4.0,3.0,2.0,1,1,0,0,0,1.0,0.0,2.49
116,51,1.0,4500.0,12.0,15.0,1.0,4.0,1,1,1,1,0,1.0,2.0,10.5
117,49,1.0,3500.0,4.0,4.0,3.0,3.0,1,1,0,0,0,1.0,1.0,5.6
118,46,1.0,4500.0,6.0,6.0,2.0,3.0,0,0,0,0,1,2.0,1.0,5.5
119,1,1.0,2250.0,1.0,1.0,3.0,1.0,0,0,0,1,0,0.0,1.0,1.6
120,109,0.0,2596.75,4.0,4.0,3.0,4.0,0,1,0,0,0,1.0,2.0,2.98
121,25,0.0,1554.4,3.0,4.0,2.0,4.0,0,1,1,0,1,2.0,1.0,7.5
122,109,1.0,5400.0,4.0,5.0,1.0,4.0,0,1,0,0,1,1.0,1.0,7.75
123,66,0.0,2587.4,4.0,4.0,3.0,4.0,1,1,1,1,0,1.0,2.0,4.0
124,28,1.0,4518.0,7.0,7.0,3.0,4.0,1,1,1,0,1,2.0,1.0,14.0
125,70,0.0,937.5,2.0,2.0,3.0,2.0,0,0,1,0,0,1.0,2.0,1.75
126,65,0.0,1462.4,3.0,3.0,3.0,4.0,0,1,0,0,0,1.0,0.0,3.4
127,66,0.0,2048.5,4.0,5.0,0.0,3.0,0,1,0,0,0,1.0,2.0,4.3
128,66,0.0,1712.325,4.0,3.0,0.0,4.0,0,0,1,0,0,0.0,2.0,3.25
129,65,0.0,1074.75,2.0,2.0,1.0,4.0,0,0,1,0,0,2.0,2.0,2.55
130,60,0.0,1636.0,3.0,4.0,3.0,4.0,0,1,0,0,0,2.0,2.0,3.81
131,66,0.0,1560.0,3.0,3.0,3.0,4.0,0,1,0,0,0,2.0,0.0,3.95
132,109,0.0,1564.0,3.0,4.0,3.0,4.0,1,1,0,0,0,2.0,0.0,3.03
133,82,0.0,975.0,2.0,2.0,3.0,1.0,0,0,0,0,0,2.0,0.0,1.4
134,84,0.0,1150.5,2.0,2.0,0.0,2.0,0,0,0,0,0,2.0,0.0,1.45
135,57,1.0,4200.0,4.0,4.0,3.0,3.0,1,0,0,0,0,0.0,1.0,8.0
136,99,0.0,2975.0,4.0,4.0,3.0,4.0,0,1,1,0,0,1.0,0.0,3.75
137,71,0.0,1188.0,3.0,3.0,2.0,2.0,0,0,0,0,0,1.0,1.0,1.6
138,46,1.0,8100.0,7.0,7.0,3.0,4.0,0,0,0,0,1,1.0,1.0,4.5
139,70,1.0,2600.0,3.0,3.0,3.0,4.0,0,1,1,0,1,1.0,1.0,6.15
140,68,0.0,916.5,2.0,2.0,3.0,4.0,0,0,0,0,0,1.0,2.0,1.55
141,49,0.0,1801.1360000000002,3.0,4.0,0.0,3.0,1,1,0,0,0,1.0,2.0,4.3
142,89,0.0,1138.4,3.0,3.0,1.0,4.0,0,1,1,0,0,2.0,1.0,1.56
143,57,1.0,2911.25,3.0,3.0,2.0,3.0,1,1,1,0,1,2.0,1.0,6.7
144,104,0.0,1275.0,2.0,3.0,3.0,4.0,0,1,0,0,0,1.0,2.0,2.5
145,49,1.0,4500.0,4.0,4.0,2.0,3.0,0,1,0,0,0,2.0,1.0,5.0
146,48,0.0,1420.8000000000002,3.0,3.0,2.0,2.0,0,1,0,0,0,2.0,2.0,2.95
147,81,0.0,2074.0,4.0,4.0,3.0,4.0,0,1,0,0,0,2.0,2.0,4.5
148,104,0.0,1275.0,2.0,3.0,3.0,4.0,0,1,0,0,0,2.0,0.0,2.5
149,99,0.0,2010.25,4.0,4.0,3.0,2.0,0,0,0,0,0,2.0,2.0,2.25
150,62,1.0,1940.0,3.0,4.0,3.0,3.0,0,0,0,0,0,0.0,0.0,2.9
151,26,1.0,4518.0,5.0,6.0,2.0,3.0,1,1,1,1,0,0.0,1.0,24.0
152,48,1.0,4500.0,6.0,6.0,0.0,4.0,1,1,1,1,0,0.0,1.0,7.5
153,50,1.0,6300.0,5.0,5.0,0.0,4.0,1,1,1,0,1,2.0,1.0,14.5
154,89,0.0,1205.625,2.0,2.0,1.0,4.0,0,0,1,1,0,1.0,1.0,1.21
155,59,0.0,2420.0,3.0,4.0,3.0,4.0,0,1,0,0,0,2.0,0.0,7.3
156,82,1.0,2160.0,3.0,3.0,3.0,3.0,0,0,1,0,0,0.0,1.0,1.31
157,106,0.0,1484.0,3.0,3.0,3.0,4.0,0,0,0,0,0,1.0,2.0,2.8
158,10,1.0,4500.0,5.0,5.0,3.0,4.0,0,0,1,0,0,2.0,1.0,3.5
159,110,0.0,2890.0,4.0,5.0,3.0,0.0,0,1,0,0,0,1.0,0.0,4.75
160,86,0.0,2009.4,4.0,4.0,0.0,4.0,1,1,0,0,0,2.0,0.0,2.53
161,108,0.0,1368.8000000000002,3.0,3.0,3.0,4.0,0,0,0,0,0,1.0,2.0,3.48
162,66,0.0,2952.9,5.0,5.0,3.0,4.0,0,1,0,0,0,1.0,0.0,8.0
163,81,0.0,1680.0,3.0,4.0,1.0,2.0,0,1,0,0,0,2.0,0.0,3.6
164,78,1.0,4500.0,4.0,3.0,1.0,2.0,0,1,0,0,0,0.0,2.0,4.25
165,106,1.0,4500.0,4.0,3.0,3.0,3.0,1,0,1,0,0,1.0,0.0,2.15
166,23,1.0,1480.0,5.0,5.0,3.0,3.0,0,1,0,0,0,2.0,1.0,5.35
167,14,1.0,4518.0,7.0,7.0,2.0,4.0,0,0,0,0,0,0.0,1.0,4.5
168,102,0.0,4913.0,5.0,5.0,1.0,4.0,0,1,0,0,0,1.0,0.0,7.5
169,47,1.0,4509.0,5.0,6.0,3.0,3.0,1,1,0,0,1,1.0,1.0,11.95
170,72,0.0,2040.0,3.0,3.0,1.0,4.0,0,1,0,0,0,1.0,2.0,4.88
171,54,0.0,2312.85,4.0,4.0,0.0,4.0,0,1,0,0,0,1.0,0.0,9.5
172,61,0.0,1360.0,3.0,3.0,3.0,3.0,0,0,0,0,0,2.0,2.0,2.65
173,104,0.0,1832.0,3.0,4.0,3.0,4.0,0,1,0,0,0,1.0,0.0,2.62
174,102,0.0,1481.6,3.0,3.0,3.0,0.0,0,0,0,0,0,0.0,1.0,2.6
175,66,0.0,1560.0,3.0,3.0,0.0,4.0,0,1,0,0,0,2.0,0.0,4.09
176,82,0.0,2061.25,4.0,4.0,3.0,4.0,0,1,0,0,1,1.0,2.0,2.87
177,106,0.0,2001.75,4.0,6.0,0.0,2.0,0,1,0,0,0,2.0,1.0,1.9
178,40,1.0,2587.75,2.0,2.0,3.0,2.0,1,1,0,0,1,0.0,1.0,3.1
179,102,0.0,2718.2999999999997,4.0,4.0,3.0,0.0,0,1,0,0,0,1.0,2.0,4.75
180,67,0.0,1113.75,2.0,2.0,0.0,4.0,0,0,1,0,0,2.0,2.0,2.01
181,69,0.0,2040.0,4.0,5.0,3.0,4.0,0,1,0,0,0,1.0,1.0,2.67
182,66,0.0,3119.5,5.0,5.0,0.0,4.0,0,1,0,0,0,0.0,0.0,6.0
183,54,1.0,6400.0,5.0,6.0,3.0,4.0,1,1,1,0,1,1.0,2.0,28.0
184,103,0.0,2443.75,4.0,6.0,0.0,2.0,0,1,0,0,0,1.0,1.0,2.95
185,102,0.0,1320.0,3.0,3.0,3.0,4.0,0,1,0,0,0,2.0,2.0,1.95
186,43,1.0,4500.0,4.0,4.0,2.0,4.0,1,1,1,0,1,2.0,1.0,9.5
187,50,0.0,1162.5,2.0,2.0,0.0,4.0,0,0,1,0,0,1.0,0.0,2.5
188,107,0.0,1024.5,2.0,2.0,0.0,2.0,0,0,0,0,0,2.0,2.0,1.35
189,72,0.0,2805.0,4.0,4.0,3.0,2.0,0,1,0,0,0,2.0,1.0,6.3
190,3,0.0,2380.0,4.0,4.0,1.0,4.0,0,1,0,0,0,2.0,2.0,2.43
191,102,0.0,1481.6,3.0,3.0,3.0,4.0,0,0,0,0,0,0.0,0.0,2.5
192,41,1.0,4350.0,5.0,5.0,3.0,4.0,1,1,0,0,1,2.0,1.0,10.75
193,60,0.0,1636.0,3.0,4.0,3.0,4.0,0,1,0,0,0,1.0,2.0,3.75
194,113,0.0,2048.0,3.0,4.0,3.0,4.0,0,1,0,0,0,2.0,0.0,3.55
195,107,0.0,1888.8,3.0,4.0,3.0,4.0,0,1,0,0,0,2.0,2.0,2.2
196,60,0.0,1636.0,3.0,4.0,3.0,4.0,0,1,0,0,0,1.0,2.0,3.71
197,57,1.0,4500.0,3.0,3.0,3.0,2.0,0,0,0,0,0,0.0,2.0,10.0
198,81,0.0,1680.0,3.0,4.0,3.0,4.0,0,1,0,0,0,2.0,2.0,3.6
199,33,0.0,1431.2,3.0,3.0,1.0,4.0,0,0,0,0,0,2.0,2.0,2.54
200,57,1.0,1400.0,2.0,2.0,3.0,2.0,1,1,1,1,0,0.0,1.0,1.3
201,99,0.0,2456.5,4.0,4.0,3.0,2.0,0,1,0,0,0,2.0,2.0,2.45
202,70,0.0,2486.25,4.0,5.0,3.0,3.0,0,1,1,0,0,2.0,0.0,4.67
203,43,1.0,3190.0,11.0,11.0,1.0,4.0,0,0,0,0,0,2.0,2.0,3.3
204,83,1.0,2911.25,3.0,3.0,3.0,3.0,0,0,0,1,0,0.0,1.0,1.75
205,102,0.0,1351.2,3.0,3.0,3.0,2.0,0,0,0,0,0,2.0,2.0,2.3
206,88,0.0,1740.0,3.0,5.0,1.0,4.0,0,1,0,0,0,2.0,2.0,2.72
207,109,1.0,4500.0,4.0,4.0,3.0,4.0,1,1,0,0,1,1.0,1.0,9.0
208,49,1.0,4350.0,4.0,4.0,2.0,3.0,1,1,0,0,0,2.0,1.0,5.7
209,65,0.0,1632.0,3.0,3.0,3.0,4.0,0,1,0,0,0,2.0,1.0,3.77
210,86,0.0,1110.0,2.0,2.0,3.0,4.0,0,0,1,0,0,1.0,0.0,2.05
211,83,0.0,1599.2,3.0,4.0,3.0,3.0,0,1,0,0,0,0.0,0.0,2.65
212,106,0.0,2001.75,4.0,5.0,0.0,4.0,0,1,0,0,0,2.0,2.0,1.89
213,83,0.0,1072.0,3.0,3.0,3.0,2.0,0,0,0,0,0,1.0,2.0,1.35
214,50,0.0,1162.5,2.0,2.0,3.0,4.0,0,0,1,0,0,2.0,2.0,2.5
215,107,0.0,1554.4,3.0,3.0,3.0,4.0,0,0,0,0,1,1.0,2.0,1.87
216,23,1.0,4509.0,7.0,7.0,0.0,4.0,0,0,0,1,0,0.0,2.0,2.35
217,56,0.0,1728.0,3.0,3.0,3.0,3.0,0,0,1,0,0,2.0,1.0,2.9
218,102,0.0,2040.0,4.0,4.0,1.0,4.0,0,0,0,0,0,2.0,0.0,2.92
219,102,0.0,1511.2,3.0,3.0,1.0,4.0,0,1,0,0,0,2.0,2.0,2.55
220,79,0.0,1192.0,3.0,3.0,3.0,2.0,1,1,1,0,1,1.0,0.0,1.9
221,27,1.0,4500.0,6.0,6.0,3.0,4.0,0,0,0,0,0,1.0,1.0,4.0
222,107,0.0,1554.4,3.0,3.0,3.0,4.0,0,0,0,0,0,1.0,2.0,1.71
223,37,0.0,1628.0,3.0,5.0,1.0,4.0,0,1,1,0,0,2.0,0.0,1.63
224,72,0.0,2040.0,3.0,3.0,3.0,2.0,0,1,0,0,0,1.0,1.0,4.9
225,107,0.0,1024.5,2.0,2.0,0.0,2.0,0,0,0,0,0,2.0,2.0,1.3
226,23,1.0,3300.0,4.0,4.0,2.0,0.0,1,0,1,0,1,2.0,1.0,6.15
227,37,0.0,982.5,2.0,2.0,0.0,2.0,0,0,0,0,0,2.0,1.0,1.1
228,88,0.0,1528.0,3.0,3.0,3.0,2.0,0,0,0,0,0,1.0,0.0,2.25
230,112,0.0,2241.6,3.0,3.0,1.0,4.0,0,1,0,0,0,2.0,0.0,4.24
231,49,1.0,4500.0,4.0,4.0,2.0,3.0,1,0,1,0,0,0.0,1.0,5.0
232,43,1.0,4200.0,4.0,4.0,2.0,4.0,1,1,1,0,1,0.0,1.0,13.5
233,1,1.0,3300.0,2.0,2.0,0.0,1.0,0,0,0,0,1,2.0,1.0,3.6
234,3,0.0,2046.8,4.0,4.0,1.0,4.0,0,0,0,0,0,1.0,2.0,2.68
235,92,0.0,1748.45,4.0,4.0,3.0,4.0,0,1,0,0,0,1.0,2.0,1.68
236,70,0.0,1720.0,3.0,4.0,3.0,4.0,0,1,1,0,0,1.0,2.0,2.8
237,63,1.0,7500.0,6.0,6.0,1.0,4.0,1,1,1,0,1,1.0,2.0,12.5
239,65,0.0,4243.2,4.0,4.0,3.0,4.0,1,1,1,0,1,1.0,0.0,13.0
240,57,1.0,4500.0,3.0,3.0,3.0,2.0,0,1,0,0,0,0.0,2.0,6.75
241,56,0.0,1600.0,3.0,3.0,2.0,4.0,1,0,0,0,0,2.0,2.0,2.5
242,104,0.0,2677.5,4.0,4.0,3.0,4.0,0,1,0,0,0,1.0,2.0,3.5
243,39,0.0,1671.525,4.0,4.0,2.0,2.0,0,1,0,0,0,0.0,2.0,2.3
244,66,1.0,4500.0,5.0,7.0,3.0,3.0,1,1,1,1,0,0.0,1.0,17.75
245,65,0.0,945.75,2.0,2.0,3.0,2.0,0,0,0,0,0,2.0,0.0,2.45
246,109,0.0,2588.25,4.0,5.0,3.0,2.0,1,1,1,0,1,1.0,2.0,4.25
247,108,0.0,1657.6,3.0,3.0,3.0,2.0,0,0,0,0,0,1.0,0.0,4.15
248,107,0.0,1024.5,2.0,2.0,3.0,2.0,0,0,0,0,0,2.0,2.0,1.3
249,37,0.0,1440.0,3.0,3.0,3.0,2.0,0,0,0,1,0,2.0,2.0,1.63
250,81,0.0,1248.0,3.0,3.0,3.0,4.0,0,0,0,0,0,1.0,2.0,1.46
251,106,0.0,1554.4,3.0,3.0,3.0,2.0,1,0,0,0,0,1.0,2.0,1.6
252,65,0.0,1407.75,2.0,2.0,1.0,4.0,0,0,0,0,0,2.0,0.0,2.8
253,28,0.0,1554.4,3.0,3.0,2.0,4.0,0,1,0,0,0,1.0,2.0,3.65
254,63,1.0,2790.0,3.0,3.0,1.0,3.0,0,1,0,0,0,2.0,2.0,3.05
255,90,0.0,2317.95,4.0,4.0,0.0,3.0,1,1,0,0,0,2.0,0.0,2.65
256,81,0.0,2312.0,4.0,4.0,3.0,3.0,0,1,1,0,0,1.0,0.0,4.95
257,102,0.0,2718.2999999999997,4.0,4.0,3.0,2.0,0,1,0,0,0,2.0,0.0,3.6
258,110,0.0,2890.0,4.0,5.0,3.0,2.0,0,1,0,0,0,1.0,1.0,4.7
259,81,0.0,1680.0,3.0,4.0,3.0,4.0,1,1,1,1,0,2.0,0.0,3.6
260,65,0.0,1320.0,3.0,3.0,0.0,4.0,0,1,1,0,0,0.0,1.0,3.08
261,78,1.0,3061.25,3.0,3.0,1.0,2.0,0,0,0,0,0,2.0,2.0,2.5
262,37,0.0,1448.8000000000002,3.0,3.0,3.0,2.0,0,0,0,0,0,1.0,2.0,2.1
263,108,0.0,1657.6,3.0,3.0,3.0,4.0,0,0,0,0,0,1.0,0.0,4.08
264,28,1.0,2560.0,5.0,6.0,3.0,4.0,1,1,1,1,0,0.0,1.0,10.5
265,54,1.0,4509.0,5.0,6.0,3.0,3.0,1,1,0,0,1,1.0,1.0,11.27
266,112,0.0,2241.6,3.0,3.0,3.0,4.0,0,1,0,0,0,2.0,2.0,4.85
267,85,0.0,1230.0,2.0,2.0,3.0,2.0,0,0,0,0,0,1.0,0.0,1.8
268,57,1.0,4350.0,4.0,4.0,0.0,3.0,1,0,1,0,1,2.0,1.0,7.2
269,3,0.0,1083.0,2.0,2.0,1.0,2.0,0,1,0,0,0,0.0,0.0,1.3
270,79,0.0,1192.0,3.0,3.0,3.0,4.0,0,0,0,0,0,1.0,0.0,1.84
271,67,0.0,1381.6,3.0,3.0,3.0,2.0,1,0,0,1,0,1.0,2.0,2.3
272,67,0.0,1546.4,3.0,3.0,1.0,4.0,0,1,0,0,1,1.0,2.0,2.63
